"","CardNames","DeckCount","Winrate95Min"
"1","Leyline of the Void",157,76.7
"2","Mindbreak Trap",155,76.1
"3","Swords to Plowshares",80,75.7
"4","Wurmcoil Engine",59,75.6
"5","Opposition Agent",45,75.5
"6","Grafdigger's Cage",123,75.4
"7","Shattering Spree",81,75.3
"8","Pithing Needle",115,75
"9","The Tabernacle at Pendrell Vale",184,75
"10","Ensnaring Bridge",29,74.8
"11","Ravenous Trap",103,74.7
"12","Null Rod",44,74.5
"13","Pyroblast",81,74.4
"14","Flusterstorm",115,74.3
"15","Mountain",39,74.2
"16","Fatal Push",70,74
"17","Surgical Extraction",101,74
"18","Containment Priest",38,73.9
"19","Soul-Guide Lantern",85,73.9
"20","Force of Vigor",108,73.8
"21","Wear // Tear",22,73.7
"22","Island",32,73.4
"23","Steel Sabotage",38,73.4
"24","Collector Ouphe",47,73
"25","Yixlid Jailer",47,73
"26","Hurkyl's Recall",73,73
"27","Sphinx of the Steel Wind",17,72.9
"28","Energy Flux",69,72.4
"29","Tormod's Crypt",40,72.3
"30","Unmask",12,72.2
"31","Archive Trap",43,72.1
"32","Duress",20,71.6
"33","Mycosynth Lattice",33,71.4
"34","Eliminate",18,71.1
"35","Force of Negation",25,71.1
"36","Assassin's Trophy",20,70.6
"37","Stonecoil Serpent",22,70.2
"38","Leyline of Sanctity",11,69.9
"39","Library of Alexandria",14,69.6
"40","Contagion",17,69.5
"41","Endurance",28,69.2
"42","Nature's Claim",24,69.1
"43","Blightsteel Colossus",38,69.1
"44","Lightning Bolt",33,68.8
"45","Wasteland",22,68.7
"46","Relic of Progenitus",17,68.3
"47","Bojuka Bog",15,68.2
"48","Lurrus of the Dream-Den",15,68.2
"49","Snow-Covered Mountain",12,67.4
"50","Deafening Silence",12,67.4
