"","CardNames","DeckCount","Winrate95Min"
"1","All That Glitters",9,66.5
"2","Alseid of Life's Bounty",13,65.9
"3","Dreadhorde Arcanist",6,65
"4","Favored Hoplite",6,65
"5","Tenth District Legionnaire",6,65
"6","Ancestral Anger",6,65
"7","Gird for Battle",6,65
"8","Defiant Strike",6,65
"9","Gods Willing",6,65
"10","Reckless Rage",6,65
"11","Titan's Strength",6,65
"12","Boros Charm",8,64.7
"13","Plains",47,64.7
"14","Selfless Savior",7,64.4
"15","Caves of Koilos",7,64.4
"16","Concealed Courtyard",7,64.4
"17","Hateful Eidolon",6,64
"18","Sram, Senior Edificer",6,64
"19","Cartouche of Solidarity",6,64
"20","Ethereal Armor",6,64
"21","Gryff's Boon",6,64
"22","Sentinel's Eyes",6,64
"23","Light-Paws, Emperor's Voice",6,64
"24","Godless Shrine",11,63
"25","Portable Hole",27,62.9
"26","Mutavault",29,62.8
"27","Deadly Dispute",19,62.7
"28","Shadowspear",18,62.4
"29","Fatal Push",28,62.4
"30","Ingenious Smith",11,62.3
"31","Hengegate Pathway",21,62.2
"32","Brightclimb Pathway",10,62.1
"33","Ensoul Artifact",18,62.1
"34","Spire of Industry",18,62.1
"35","Gingerbrute",19,62.1
"36","Ornithopter",19,62.1
"37","Stonecoil Serpent",19,62.1
"38","Springleaf Drum",19,62.1
"39","Darksteel Citadel",19,62.1
"40","Michiko's Reign of Truth",19,62.1
"41","Monastery Swiftspear",10,61.9
"42","Soul-Scar Mage",9,61.5
"43","The Blackstaff of Waterdeep",17,61.5
"44","Oni-Cult Anvil",10,61.4
"45","Blightstep Pathway",20,61.4
"46","Haunted Ridge",20,61.4
"47","Den of the Bugbear",22,61.4
"48","Sacred Foundry",16,61.2
"49","Hallowed Fountain",30,60.9
"50","Stomping Ground",17,60.8
