"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Affinity - Dimir Faeries - Boros Monarch - Azorius Familiars,Rakdos Goblins - Mono   Blue,Affinity - Rakdos Goblins - Boros Monarch,Affinity - Boros Monarch - Rakdos Goblins,Affinity - Boros Monarch - Rakdos Goblins
"Tiers 1.5",Izzet Faeries - Black   Burn - Bogles - Rakdos Goblins - Unknown,Boros Monarch - Cycle   Storm - Affinity - Boros Bully / Flashback - Azorius Familiars - Conflict(Black   Burn,Burn) - Unknown - Mono Blue Faeries,Azorius Familiars - Boros Bully / Flashback - Mono   Blue - Dimir Faeries - Unknown - Cycle   Storm - Izzet Faeries,Azorius Familiars - Dimir Faeries - Mono   Blue - Boros Bully / Flashback - Unknown - Cycle   Storm,Azorius Familiars - Dimir Faeries - Mono   Blue - Boros Bully / Flashback - Unknown - Cycle   Storm
"Tiers 2",Boros Bully / Flashback - Mono   Blue - Cycle   Storm - Mono Blue Faeries,Mono Red Kiln   Fiend - Dimir Faeries - Izzet Faeries - Bogles,Black   Burn - Bogles - Mono Blue Faeries - Conflict(Black   Burn,Burn),Izzet Faeries - Black   Burn - Bogles - Mono Blue Faeries - Conflict(Black   Burn,Burn) - Mono Red Kiln   Fiend,Izzet Faeries - Black   Burn - Bogles - Mono Blue Faeries - Conflict(Black   Burn,Burn) - Mono Red Kiln   Fiend
"Tiers 2.5",Conflict(Black   Burn,Burn) - Tireless   Tribe - Mono Red Kiln   Fiend - Mono   White   Heroic - Gruul Ramp,Black   Burn - Mono   White   Heroic - Gruul Ramp - Tireless   Tribe,Mono Red Kiln   Fiend - Tireless   Tribe - Mono   White   Heroic - Gruul Ramp,Tireless   Tribe - Mono   White   Heroic - Gruul Ramp,Tireless   Tribe - Mono   White   Heroic - Gruul Ramp
