"","CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"11","Ancient Ziggurat",16,4,21,31,67.7,48.6,83.3," 3 Humans 
 1 Slivers 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#_ilnano__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#_ilnano__st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#bernardocssa_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#justburn_th_place 
","John Avon","",0,"Land","CON",0.1,2.1,4
"12","Arbor Elf",8,2,5,13,38.5,13.9,68.4," 1 Devoted Combo 
 1 Gruul Midrange 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#icteridae_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#killagerm_nd_place 
","rk post","G",1,"Creature","WWK",0.1,1,4
"13","Arboreal Grazer",42,12,67,95,70.5,60.3,79.4," 1 Amulet Titan 
 1 Selesnya Titan 
 6 Simic Titan 
 1 Sultai Titan 
 3 Titan Shift 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#zebhillard_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#cyruscg_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#phill_hellmuth_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#bolov_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#imgtubarn_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#_goblinlackey_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#ajani_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#pooka_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#austinflakesss_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#kazuga_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#naisirc_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#jadacant_nd_place 
","Jason Rainville","G",1,"Creature","WAR",0.4,6.2,3.5
"14","Arcbound Ravager",4,1,5,8,62.5,24.5,91.5," 1 Affinity 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#acg_th_place 
","Carl Critchlow","",2,"Artifact,Creature","DST",0,0.5,4
"15","Arch of Orazca",1,1,7,9,77.8,40,97.2," 1 Eldrazi Tron 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#painhuman_th_place 
","Titus Lunter","",0,"Land","RIX",0,0.5,1
"16","Archmage's Charm",70,29,161,224,71.9,65.5,77.7," 4 Bant Control 
 2 Izzet Control 
 23 Urza Oko 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#toastxp_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#mcwinsauce_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#vtcla_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#tiemuuu_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#llawtonss_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#lord_beerus_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#zars_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#dborges_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#vtcla_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#sourceodin_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#bayesta__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#elias_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#pepeisra_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#graciasportanto_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#llawtonss_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#jhf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#vtcla_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#andreas_mueller_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#bradyoo_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#pepeteam_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#toastxp_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#mentalmisstep_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#volollo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#mcwinsauce_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#mechint_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#nilsfit_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#bobthedog_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#mcwinsauce_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#ivan_catanduva_br_rd_place 
","Alayna Danner","U",3,"Instant","MH1",0.6,15.1,2.4
"17","Arcum's Astrolabe",188,49,271,381,71.1,66.3,75.6," 7 Bant Control 
 3 Niv To Light 
 1 Paradoxical Urza 
 7 Stoneblade 
 1 Temur Midrange 
 2 Thopter Urza 
 28 Urza Oko 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#toastxp_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#brener_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#mcwinsauce_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#mlupa_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#vtcla_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#danker_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#mentalmisstep_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#degan_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#lord_beerus_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#zars_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#gyyby_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#katoriarch_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#dborges_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#zanman_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#leclairandy_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#crazeejakee_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#vtcla_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#sourceodin_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#bayesta__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#u_mad_bro_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#elias_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#pepeisra_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#graciasportanto_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#lan__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#llawtonss_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#jhf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#godofslaughter_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#vtcla_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#andreas_mueller_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#bradyoo_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#zackychan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#pepeteam_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#toastxp_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#jessy_samek_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#mentalmisstep_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#domswitch_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#volollo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#mcwinsauce_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#mechint_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#nilsfit_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#bobthedog_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#nammersquats_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#sourceodin_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#gul_dukat_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#mcwinsauce_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#mrounds_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#zxrogue_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#ivan_catanduva_br_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#dillyg_th_place 
","Igor Kieryluk","",1,"Artifact","MH1",1.6,25.5,3.8
"18","Arid Mesa",11,7,34,53,64.2,49.8,76.9," 3 Burn 
 1 Dredge 
 1 Elementals 
 1 Titan Shift 
 1 Tunnel Moon 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#madkat_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#pooka_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#scriptkip_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#ko_mak_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#prgjjar_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#nahuel_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#andreamazzone_th_place 
","Raymond Swanland","",0,"Land","ZEN",0.1,3.6,1.6
"19","As Foretold",8,2,9,14,64.3,35.1,87.2," 2 Electro Balance 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#fradev_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#runeskjold_th_place 
","Tommy Arnold","U",3,"Enchantment","AKH",0.1,1,4
"20","Assassin's Trophy",27,14,68,106,64.2,54.3,73.2," 2 Golgari Midrange 
 5 Jund Midrange 
 3 Niv To Light 
 3 UBRG Shadow 
 1 Urza Oko 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#thegaul_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#irra_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#ssnelson_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#zanman_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#genkytoro_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#nublkau_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#graciasportanto_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#lan__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#failbotover_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#nublkau_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#irra_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#jschloss_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#zxrogue_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#genkytoro_th_place 
","Seb McKinnon","B,G",2,"Instant","GRN",0.2,7.3,1.9
