"","CardNames","DeckCount","Winrate95Min"
"1","Veil of Summer",83,65.3
"2","Damping Sphere",66,65.2
"3","Grafdigger's Cage",67,64.7
"4","Ceremonious Rejection",36,64.4
"5","Mystical Dispute",79,64.4
"6","Dismember",64,64.1
"7","Tormod's Crypt",41,63.9
"8","Ashiok, Dream Render",49,63.7
"9","Teferi, Time Raveler",7,63.6
"10","Relic of Progenitus",35,63
"11","Pithing Needle",42,62.8
"12","Ensnaring Bridge",47,62.3
"13","Fatal Push",16,62.1
"14","Wurmcoil Engine",37,62.1
"15","Spatial Contortion",30,62
"16","Mycosynth Lattice",46,62
"17","Oko, Thief of Crowns",12,61.8
"18","Sorcerous Spyglass",26,61.8
"19","Torpor Orb",7,61.6
"20","Liquimetal Coating",40,61.5
"21","Rest in Peace",26,61
"22","Disdainful Stroke",39,61
"23","Walking Ballista",38,60.9
"24","Skysovereign, Consul Flagship",22,60.8
"25","Obstinate Baloth",15,60.7
"26","Reclamation Sage",20,60.5
"27","Assassin's Trophy",14,59.5
"28","Melira, Sylvok Outcast",9,59.4
"29","Witchbane Orb",20,59.3
"30","Nature's Claim",22,59.2
"31","Path to Exile",15,59.1
"32","Collector Ouphe",20,59
"33","Dissenter's Deliverance",6,58.9
"34","Engineered Explosives",22,58.5
"35","Chameleon Colossus",9,58.4
"36","Mystic Forge",13,58.2
"37","Blood Moon",13,57.9
"38","Spellskite",9,57.7
"39","Supreme Verdict",6,57.4
"40","Spell Pierce",7,57.1
"41","Force of Vigor",11,56.8
"42","Lightning Bolt",6,56.5
"43","Timely Reinforcements",15,56.4
"44","Plague Engineer",20,55.8
"45","Celestial Purge",14,55.6
"46","Collective Brutality",23,55.5
"47","Thoughtseize",7,55.2
"48","Force of Negation",3,54.9
"49","Thragtusk",9,54.6
"50","Abrade",13,54.6
