"","Artist","NoCopies","Winrate"
"1","Rob Alexander",853,0.675
"2","Anson Maddocks",379,0.692
"3","Christopher Rush",379,0.672
"4","Terese Nielsen",311,0.673
"5","Adam Paquette",297,0.684
"6","Yongjae Choi",265,0.7
"7","Svetlin Velinov",264,0.67
"8","Chippy",253,0.706
"9","Mark Zug",241,0.684
"10","Chris Rahn",241,0.691
"11","Matt Stewart",239,0.67
"12","Daniel Ljunggren",239,0.678
"13","Eric Deschamps",235,0.685
"14","Daarken",235,0.671
"15","Shelly Wan",233,0.693
"16","Mark Tedin",232,0.663
"17","Mark Poole",229,0.665
"18","James Paick",219,0.675
"19","John Avon",216,0.679
"20","Wisnu Tan",204,0.665
"21","Igor Kieryluk",203,0.709
"22","Franz Vohwinkel",196,0.661
"23","Volkan Baǵa",195,0.703
"24","Lake Hurwitz",192,0.689
"25","Douglas Shuler",185,0.639
"26","Jason Rainville",180,0.694
"27","Todd Lockwood",178,0.669
"28","Aleksi Briclot",176,0.668
"29","Ekaterina Burmak",176,0.682
"30","Jason Felix",175,0.679
"31","Filip Burburan",164,0.692
"32","Kev Walker",155,0.667
"33","Steve Argyle",152,0.648
"34","Anthony S. Waters",148,0.676
"35","Pete Venters",145,0.672
"36","Ron Spears",142,0.682
"37","Vance Kovacs",140,0.681
"38","Lindsey Look",139,0.697
"39","Vincent Proce",130,0.677
"40","Grzegorz Rutkowski",124,0.724
"41","Raymond Swanland",120,0.686
"42","Wayne England",118,0.713
"43","Johann Bodin",109,0.647
"44","Pat Morrissey",105,0.698
"45","Darrell Riche",104,0.674
"46","Adam Rex",101,0.652
"47","Cyril Van Der Haegen",100,0.649
"48","Cynthia Sheppard",98,0.686
"49","Philip Straub",97,0.694
"50","Randy Vargas",96,0.707
"51","Howard Lyon",95,0.662
"52","Tomasz Jedruszek",93,0.641
"53","Cliff Childs",92,0.678
"54","Jason Chan",90,0.684
"55","Warren Mahy",85,0.64
"56","Dimitar Marinski",81,0.683
"57","Michael Komarck",79,0.651
"58","Seb McKinnon",79,0.669
"59","Heather Hudson",77,0.653
"60","Tom Wänerstrand",76,0.681
"61","Alayna Danner",75,0.71
"62","Chris Ostrowski",75,0.679
"63","Chris Rallis",75,0.697
"64","Christopher Moeller",74,0.689
"65","Noah Bradley",71,0.635
"66","Livia Prima",70,0.727
"67","Paul Scott Canavan",69,0.645
"68","Jean-Sébastien Rossbach",65,0.689
"69","Jung Park",64,0.691
"70","Justin Murray",64,0.662
"71","Sam Burley",63,0.689
"72","Dave Kendall",63,0.634
"73","Ryan Pancoast",62,0.647
"74","Jonas De Ro",60,0.649
"75","Kieran Yanner",57,0.692
"76","Steven Belledin",56,0.676
"77","Michael Sutfin",55,0.66
"78","Izzy",55,0.655
"79","Carl Critchlow",53,0.685
"80","James Ryman",50,0.664
"81","Randy Gallegos",50,0.632
"82","Yeong-Hao Han",49,0.639
"83","Heonhwa Choe",43,0.639
"84","Jim Nelson",42,0.716
"85","Richard Wright",42,0.632
"86","Jaime Jones",41,0.668
"87","rk post",40,0.602
"88","Ben Thompson",39,0.634
"89","Nils Hamm",39,0.664
"90","Luca Zontini",37,0.671
"91","Chase Stone",37,0.621
"92","Dan Scott",37,0.625
"93","Nicholas Gregory",37,0.636
"94","Karl Kopinski",36,0.655
"95","Greg Hildebrandt",36,0.672
"96","John Stanko",35,0.696
"97","YW Tang",35,0.64
"98","Khang Le",34,0.688
"99","Dan Frazier",34,0.631
"100","Zoltan Boros",34,0.64
"101","Dominick Domingo",34,0.567
"102","Jesper Myrfors",33,0.667
"103","Fred Fields",33,0.653
"104","Martina Pilcerova",32,0.682
"105","Mike Bierek",32,0.682
"106","Scott M. Fischer",32,0.661
"107","Alex Horley-Orlandelli",32,0.661
"108","Jeff Miracola",32,0.638
"109","Dmitry Burmak",32,0.638
"110","David Rapoza",32,0.61
"111","Greg Staples",31,0.673
"112","Magali Villeneuve",29,0.614
"113","Anthony Francisco",28,0.68
"114","Sam Wood",28,0.644
"115","John Howe",28,0.646
"116","Zoltan Boros & Gabor Szikszai",25,0.648
"117","Una Fricker",24,0.733
"118","Jana Schirmer & Johannes Voss",23,0.696
"119","Suzanne Helmigh",22,0.733
"120","Wesley Burt",22,0.647
"121","Zack Stella",21,0.688
"122","Austin Hsu",21,0.625
"123","Brom",19,0.663
"124","Jama Jurabaev",19,0.636
"125","Mark Behm",19,0.642
"126","Erica Yang",19,0.605
"127","David Gaillet",18,0.607
"128","Dave Allsop",17,0.729
"129","Johannes Voss",17,0.649
"130","Titus Lunter",17,0.659
"131","Bryon Wackwitz",16,0.706
