EVENT,META,WEEK,DATE,RESULT,POINTS,PLAYER,URL,ARCHETYPE,COLOR,COMPANION
Modern Preliminary,LastOkoDays,1,2019-12-13,5-0,15,maxxattack,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#maxxattack_-,Infect,UG,
Modern Preliminary,LastOkoDays,1,2019-12-13,4-1,12,Epachniak,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#epachniak_-,Mono Red Prowess,R,
Modern Preliminary,LastOkoDays,1,2019-12-13,4-1,12,WorstNewbEver,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#worstnewbever_-,Amulet Titan,UG,
Modern Preliminary,LastOkoDays,1,2019-12-13,4-1,12,benchsummer,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#benchsummer_-,UBRG Shadow,UBRG,
Modern Preliminary,LastOkoDays,1,2019-12-13,4-1,12,nahuel10,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#nahuel_-,Burn,WR,
Modern Preliminary,LastOkoDays,1,2019-12-13,4-1,12,Nammersquats,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#nammersquats_-,Humans,WUBRG,
Modern Preliminary,LastOkoDays,1,2019-12-13,4-1,12,yamakiller,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#yamakiller_-,Eldrazi Tron,C,
Modern Preliminary,LastOkoDays,1,2019-12-13,4-1,12,SourceOdin,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#sourceodin_-,Urza Oko,WUG,
Modern Preliminary,LastOkoDays,1,2019-12-13,3-2,9,thugnificent32,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#thugnificent_-,Amulet Titan,UG,
Modern Preliminary,LastOkoDays,1,2019-12-13,3-2,9,quinniac,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#quinniac_-,Burn,WRG,
Modern Preliminary,LastOkoDays,1,2019-12-13,3-2,9,rileydk,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#rileydk_-,Amulet Titan,UG,
Modern Preliminary,LastOkoDays,1,2019-12-13,3-2,9,Theo_Jung,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2019-12-16#theo_jung_-,Eldrazi Tron,C,
