EVENT,META,WEEK,DATE,RESULT,POINTS,PLAYER,URL,ARCHETYPE,COLOR,COMPANION
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,245th,3,antus94,,Shadow Prowess,BRG,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,246th,3,KBTMTG,,E Tron,C,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,247th,3,zecarlonxo,,Obosh Aggro,R,Obosh
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,248th,3,SacmenFeg,,Burn,WR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,249th,3,Halobender,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,250th,3,pepeteam,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,251th,3,Nammersquats,,Infect,UG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,252th,3,Frejat,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,253th,3,jackchurch1996,,Mardu Midrange,WBR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,254th,3,Whitco02,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,255th,3,Bayesta_93,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,256th,3,carletao,,Izzet Control,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,257th,3,d00mwake,,Rakdos Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,258th,3,Karatedom,,Rakdos Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,259th,3,WeareVenom,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,260th,3,BSK_hercules,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,261th,3,Wtnof,,Oops All Spells,WUBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,262th,3,Fenruscloud,,Infect,BG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,263th,3,vfras96,,Rogues,UB,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,264th,3,WhiTe TsaR,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,265th,3,Kr0k39,,Gifts Storm,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,266th,3,TuggaNaxos,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,267th,0,travis8427,,Infect,UG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,268th,0,spokes,,Oops All Spells,WUBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,269th,0,iaky91,,Ad Nauseam,WUB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,270th,0,_Luks,,Thopter Urza,UBR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,271th,0,SouthernSliver,,Slivers,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,272th,0,energiza,,Humans,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,273th,0,SweetIto,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,274th,0,weishengzhishabi,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,275th,0,pokerswizard,,Spirits,WU,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,276th,0,toondoslav,,Infect,UG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,277th,0,miqa,,Izzet Living End,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,278th,0,dhawk50,,Burn,WR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,279th,0,crazeejakee07,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,280th,0,1yo2yo,,Thopter Urza,WUB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,281th,0,LiturgijskaKnjiga,,Bogles,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,282th,0,DirtyRowdyBoy,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,283th,0,Daking3603,,Reclaimer Titan,WRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,284th,0,jdmoyer17,,Mill,UB,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,285th,0,ArchaeusDota,,Uroza,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,286th,0,Drockafeller,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,287th,0,Tw33Ty,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,288th,0,ziofrancone,,Jeskai Breach,WURG,Jegantha
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,289th,0,Noix11,,Humans,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,290th,0,TheJigIsAlwaysUp,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,291th,0,Mateusf34,,E Tron,C,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,292th,0,FingersMLD,,Mono White Taxes,W,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,293th,0,tzirkel,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,294th,0,__BMJ__,,Rakdos Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,295th,0,cftsoc3,,Bant Blink,WUG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,296th,0,MickeyPlaysMagic,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,297th,0,SakingMTG,,KGC Tron,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,298th,0,fpawlusz,,KGC Amulet Titan,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,299th,0,joker10289,,Reclaimer Titan,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,300th,0,whitefangshinobi,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,301th,0,jay44bab,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,302th,0,Dafne17,,Mono Red Prowess,R,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,303th,0,MdvWin,,Hammer Time,W,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,304th,0,mrichi,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,305th,0,kevilynn,,Bant Spirits,WUG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,306th,0,Sherwinator,,Mill,UB,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,307th,0,cypriankrzysztof,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,308th,0,abisbocci,,Grixis Shadow,UBR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,309th,0,Manakin,,Hardened Scales,RG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,310th,0,Nilsfit,,Jeskai Breach,WUR,Jegantha
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,311th,0,NGFC_Mark,,Oops All Spells,WUBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,312th,0,ecobaronen,,Titan Shift,RG,
