EVENT,META,WEEK,DATE,RESULT,POINTS,PLAYER,URL,ARCHETYPE,COLOR,COMPANION
Modern Preliminary,PostCompanionChange,1,2020-06-04,4-1,12,Violent_Outburst,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#violent_outburst_-,Temur Control,URG,Yorion
Modern Preliminary,PostCompanionChange,1,2020-06-04,4-1,12,gazmon48,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#gazmon_-,Gruul Midrange,RG,
Modern Preliminary,PostCompanionChange,1,2020-06-04,4-1,12,LORiWWA,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#loriwwa_-,E Tron,C,
Modern Preliminary,PostCompanionChange,1,2020-06-04,4-1,12,__matsugan,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#__matsugan_-,Neobrand,UG,
Modern Preliminary,PostCompanionChange,1,2020-06-04,3-2,9,PRGJJAR,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#prgjjar_-,Dredge,BRG,
Modern Preliminary,PostCompanionChange,1,2020-06-04,3-2,9,fradev1988,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#fradev_-,Bant Control,WUG,
Modern Preliminary,PostCompanionChange,1,2020-06-04,3-2,9,Cherryxman,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#cherryxman_-,Uroza,WUG,Yorion
Modern Preliminary,PostCompanionChange,1,2020-06-04,3-2,9,sff_mtg,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#sff_mtg_-,KGC Tron,G,
Modern Preliminary,PostCompanionChange,1,2020-06-04,3-2,9,_Shatun_,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-06-05#_shatun__-,Titan Shift,RG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Never_DidntHaveIt,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#never_didnthaveit_-,Boros Prowess,WR,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Musagete,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#musagete_-,Devoted,WG,Lurrus
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,carlosalmeida,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#carlosalmeida_-,Gruul Midrange,RG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Lucabireskusku,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#lucabireskusku_-,Inverter,UB,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,K4rl1991,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#krl_-,Hardened Scales,G,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,asmitchler,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#asmitchler_-,UBRG Shadow,UBRG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,crazeyr15,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#crazeyr_-,Niv To Light,WUBRG,Jegantha
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,hugofreitas1,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#hugofreitas_-,Gifts Storm,URG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,retiredcapivara,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#retiredcapivara_-,Dredge,BRG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Urzza100,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#urzza_-,Bant Control,WUG,Yorion
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,didoguidotti1,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#didoguidotti_-,Grixis Shadow,UBR,Lurrus
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Papelucho10,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#papelucho_-,Infect,UG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,SvenSvenSven,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#svensvensven_-,Izzet Control,UR,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,MaliciousMac,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#maliciousmac_-,WURG Control,WURG,Yorion
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Mussie99,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#mussie_-,Azorius Control,WU,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,il_matagatto,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#il_matagatto_-,Humans,WUBRG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Nightblue,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#nightblue_-,Burn,WR,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,lSoLlAKirA,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#lsollakira_-,Heliod Devoted,WBG,Yorion
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Lcario,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#lcario_-,Mardu Shadow,WBR,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,wambocombo2020,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#wambocombo_-,Jund Smallpox,BRG,Lurrus
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Metcalf23,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#metcalf_-,Boros Taxes,WR,Lurrus
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,DreamsOfAshiok,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#dreamsofashiok_-,Rakdos Midrange,BR,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Celldweller,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#celldweller_-,Sultai Control,UBG,Yorion
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,llabmonkey,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#llabmonkey_-,Scapeshift,URG,Yorion
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,mashmalovsky,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#mashmalovsky_-,Orzhov Taxes,WB,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,timewalkinonsunshine,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#timewalkinonsunshine_-,Taking Turns,URG,Yorion
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,RandomOctopus,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#randomoctopus_-,Uroza,WUG,Yorion
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,iuriper,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#iuriper_-,Sultai Control,UBG,
Modern League,PostCompanionChange,1,2020-06-05,5-0,-,Aristocrats,https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-league-2020-06-05#aristocrats_-,Aristocrats,WB,Lurrus
