"","SetCode","NoCopies","Winrate"
"1","MH2",4876,0.72
"2","MH1",2670,0.718
"3","LEA",2648,0.719
"4","ZEN",2233,0.72
"5","ONS",1582,0.727
"6","ELD",952,0.713
"7","WWK",845,0.716
"8","WAR",780,0.717
"9","LRW",743,0.732
"10","RAV",693,0.731
"11","KLD",661,0.709
"12","IKO",660,0.726
"13","DIS",634,0.725
"14","SOM",619,0.72
"15","ZNR",610,0.727
"16","GPT",601,0.72
"17","5DN",589,0.713
"18","NPH",553,0.715
"19","MRD",540,0.716
"20","RTR",504,0.726
"21","M20",492,0.717
"22","SHM",448,0.719
"23","CSP",443,0.712
"24","ATQ",439,0.694
"25","FUT",418,0.714
"26","TSP",415,0.717
"27","MID",399,0.726
"28","STX",382,0.698
"29","THB",376,0.71
"30","EMN",356,0.693
"31","DKA",353,0.709
"32","ARB",349,0.708
"33","ICE",346,0.73
"34","KTK",333,0.727
"35","ROE",330,0.7
"36","GTC",312,0.733
"37","CON",303,0.717
"38","CHK",260,0.716
"39","MBS",260,0.703
"40","AFR",259,0.722
"41","DRK",242,0.7
"42","PC2",240,0.714
"43","AVR",219,0.733
"44","M19",219,0.71
"45","APC",205,0.692
"46","OGW",205,0.691
"47","JOU",199,0.723
"48","RNA",198,0.711
"49","AER",193,0.707
"50","CMD",193,0.716
"51","DOM",157,0.712
"52","ALA",154,0.692
"53","SOK",142,0.71
"54","PLC",140,0.727
"55","M11",136,0.714
"56","M10",135,0.744
"57","ISD",135,0.701
"58","HOU",127,0.689
"59","XLN",118,0.723
"60","M21",117,0.692
"61","AKH",115,0.706
"62","DST",100,0.699
"63","NEM",78,0.689
"64","INV",76,0.669
"65","DTK",70,0.718
"66","MIR",65,0.718
"67","DGM",61,0.748
"68","PLS",61,0.726
"69","MOR",60,0.726
"70","GRN",59,0.695
"71","M12",57,0.717
"72","SOI",56,0.68
"73","EVE",55,0.736
"74","BFZ",52,0.695
"75","ORI",32,0.71
"76","TMP",30,0.692
"77","FRF",26,0.691
"78","KHM",26,0.687
"79","M13",25,0.685
"80","ULG",19,0.696
"81","STH",19,0.648
"82","WTH",17,0.723
"83","M15",14,0.713
"84","ALL",12,0.742
"85","P02",8,0.75
"86","JUD",8,0.714
"87","BNG",8,0.737
"88","C14",7,0.708
"89","ARN",7,0.652
"90","PTK",6,0.688
"91","LEG",4,0.714
"92","ODY",3,0.714
"93","TOR",2,0.75
