"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Murktide - Yawgmoth - Rakdos Scam - Creativity Combo,Amulet Titan - Grinding Breach - Rakdos Midrange,Grinding Breach - Yawgmoth - Izzet Murktide - Amulet Titan,Izzet Murktide - Yawgmoth - Grinding Breach,Izzet Murktide - Yawgmoth - Grinding Breach
"Tiers 1.5",Azorius Control - Grinding Breach - Hammer Time - Domain Footfalls - Burn - Blue Living End,Yawgmoth - Hardened Scales - Blue Living End - Izzet Murktide - Azorius Control - Rakdos Scam - Hammer Time - Domain Footfalls - Blue Scapeshift,Rakdos Scam - Rakdos Midrange - Azorius Control - Blue Living End - Hammer Time - Domain Footfalls - Creativity Combo,Rakdos Scam - Azorius Control - Amulet Titan - Creativity Combo - Rakdos Midrange - Hammer Time - Blue Living End - Domain Footfalls,Rakdos Scam - Azorius Control - Amulet Titan - Creativity Combo - Rakdos Midrange - Hammer Time - Blue Living End - Domain Footfalls
"Tiers 2",Rakdos Midrange - Omnath Control - Goblins - Green Tron - Merfolk - Domain Zoo - Amulet Titan - Eldrazi Tron,Dredge - Omnath Control - Goblins - Domain Zoo - Burn - Creativity Combo,Burn - Omnath Control - Goblins - Hardened Scales - Domain Zoo - Dredge - Blue Scapeshift,Burn - Omnath Control - Goblins - Hardened Scales - Domain Zoo - Dredge - Blue Scapeshift,Burn - Omnath Control - Goblins - Hardened Scales - Domain Zoo - Dredge - Blue Scapeshift
"Tiers 2.5",Hardened Scales - Dredge - Blue Scapeshift - Thopter Urza,Thopter Urza - Green Tron - Merfolk - Eldrazi Tron,Green Tron - Merfolk - Thopter Urza - Eldrazi Tron,Green Tron - Merfolk - Thopter Urza - Eldrazi Tron,Green Tron - Merfolk - Thopter Urza - Eldrazi Tron
