"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Delver - Unknown - Elves,Death  &  Taxes - Dimir Ninjas,Mono Red Prison - Death  &  Taxes - Izzet Delver - Unknown,Izzet Delver - Unknown - Mono Red Prison,Izzet Delver - Unknown - Mono Red Prison
"Tiers 1.5",Mono Red Prison - Izzet Tempo - UW   Control - TES - Mardu Reanimator - Artifacts   Blue - Death  &  Taxes,Mono Red Prison - Yorion   Zenith - Slow   Depths - Esper Stoneblade - Oops !  All   Spells - Izzet Tempo - Artifacts   Blue - Conflict(Jeskai Stoneblade,Jeskai Tempo) - Elves - Unknown - Izzet Delver,Izzet Tempo - Elves - Artifacts   Blue - UW   Control - Slow   Depths - Dimir Ninjas - Oops !  All   Spells - Yorion   Zenith,Izzet Tempo - Elves - Death  &  Taxes - Artifacts   Blue - UW   Control,Izzet Tempo - Elves - Death  &  Taxes - Artifacts   Blue - UW   Control
"Tiers 2",Oops !  All   Spells - Slow   Depths - Doomsday - Yorion   Zenith - Sneak  &  Show,UW   Control - Sneak  &  Show - Mardu Reanimator,Mardu Reanimator - Esper Stoneblade - TES - Conflict(Jeskai Stoneblade,Jeskai Tempo),Dimir Ninjas - Slow   Depths - Oops !  All   Spells - Yorion   Zenith - Mardu Reanimator - Esper Stoneblade - TES - Conflict(Jeskai Stoneblade,Jeskai Tempo),Dimir Ninjas - Slow   Depths - Oops !  All   Spells - Yorion   Zenith - Mardu Reanimator - Esper Stoneblade - TES - Conflict(Jeskai Stoneblade,Jeskai Tempo)
"Tiers 2.5",Dimir Ninjas - Esper Stoneblade - WUBR Reanimator - Conflict(Jeskai Stoneblade,Jeskai Tempo),Doomsday - TES - WUBR Reanimator,Sneak  &  Show - Doomsday - WUBR Reanimator,Sneak  &  Show - Doomsday - WUBR Reanimator,Sneak  &  Show - Doomsday - WUBR Reanimator
