"","SetCode","NoCopies","Winrate"
"1","LEA",7961,0.795
"2","MH1",7161,0.795
"3","MH2",6865,0.798
"4","ZEN",6181,0.796
"5","ONS",5251,0.798
"6","WWK",3344,0.796
"7","ELD",2842,0.796
"8","RAV",2785,0.799
"9","ZNR",2646,0.794
"10","WAR",2491,0.796
"11","DIS",2472,0.797
"12","NPH",2301,0.796
"13","M20",2291,0.791
"14","THB",2203,0.799
"15","LRW",2152,0.793
"16","5DN",2145,0.793
"17","KLD",2001,0.796
"18","FUT",1988,0.797
"19","SOM",1939,0.798
"20","GPT",1938,0.801
"21","IKO",1847,0.796
"22","ROE",1773,0.792
"23","CON",1725,0.791
"24","ATQ",1606,0.8
"25","AER",1568,0.792
"26","TSP",1492,0.803
"27","OGW",1445,0.798
"28","ICE",1435,0.796
"29","CSP",1421,0.785
"30","MRD",1352,0.8
"31","KTK",1255,0.798
"32","SHM",1164,0.797
"33","STX",1084,0.788
"34","RTR",923,0.789
"35","ISD",910,0.778
"36","ARB",894,0.806
"37","M21",890,0.792
"38","DRK",870,0.797
"39","EMN",817,0.791
"40","DKA",805,0.79
"41","INV",799,0.795
"42","RNA",791,0.8
"43","AKH",772,0.796
"44","M11",697,0.807
"45","MBS",689,0.802
"46","STH",671,0.797
"47","CHK",668,0.8
"48","GTC",664,0.809
"49","DOM",639,0.788
"50","XLN",623,0.795
"51","HOU",622,0.795
"52","ALA",622,0.806
"53","DTK",592,0.784
"54","DST",589,0.799
"55","AVR",587,0.807
"56","SOK",552,0.798
"57","BFZ",545,0.793
"58","PLC",526,0.8
"59","JUD",493,0.797
"60","JOU",460,0.795
"61","GRN",448,0.775
"62","FRF",439,0.783
"63","SOI",436,0.793
"64","M19",409,0.79
"65","M12",371,0.778
"66","CMD",341,0.784
"67","PC2",340,0.802
"68","APC",303,0.798
"69","KHM",298,0.78
"70","M10",291,0.797
"71","PLS",270,0.788
"72","M15",254,0.807
"73","MOR",242,0.785
"74","DGM",242,0.803
"75","TMP",234,0.775
"76","EVE",226,0.789
"77","NEM",191,0.794
"78","THS",182,0.8
"79","MID",165,0.806
"80","AFR",164,0.797
"81","ULG",155,0.777
"82","WTH",149,0.8
"83","M13",129,0.793
"84","ORI",110,0.805
"85","ALL",105,0.811
"86","BNG",101,0.787
"87","M14",78,0.787
"88","P02",75,0.838
"89","MIR",65,0.829
"90","ODY",64,0.779
"91","BOK",61,0.773
"92","LEG",51,0.788
"93","ARN",41,0.821
"94","C14",23,0.773
"95","TOR",17,0.717
"96","POR",12,0.792
"97","CN2",11,0.875
"98","RIX",10,0.75
"99","PTK",8,0.75
"100","SCG",6,0.75
"101","HML",2,0.8
