"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Affinity - Unknown,Mono Red Kiln   Fiend - Mono   Blue - Esper Familiars,Affinity - Rakdos Goblins,Affinity - Rakdos Goblins,Affinity - Rakdos Goblins
"Tiers 1.5",Rakdos Goblins - Dimir Faeries - Boros Monarch - Boros Bully / Flashback - Azorius Familiars,Rakdos Goblins - Boros Bully / Flashback - Temur Ramp - Conflict(Black   Burn,Burn),Esper Familiars - Boros Bully / Flashback - Unknown - Boros Monarch - Mono   Blue - Dimir Faeries - Azorius Familiars - Temur Ramp - Mono Red Kiln   Fiend,Esper Familiars - Unknown - Boros Bully / Flashback - Boros Monarch - Mono Red Kiln   Fiend - Mono   Blue - Dimir Faeries - Temur Ramp - Azorius Familiars,Esper Familiars - Unknown - Boros Bully / Flashback - Boros Monarch - Mono Red Kiln   Fiend - Mono   Blue - Dimir Faeries - Temur Ramp - Azorius Familiars
"Tiers 2",Esper Familiars - Temur Ramp - Cycle   Storm - Izzet Faeries - Mono   Blue - Bogles,Affinity - Azorius Familiars - Boros Monarch - Unknown - Dimir Faeries - Cycle   Storm - Izzet Faeries,Conflict(Black   Burn,Burn) - Cycle   Storm,Conflict(Black   Burn,Burn) - Cycle   Storm,Conflict(Black   Burn,Burn) - Cycle   Storm
"Tiers 2.5",Conflict(Black   Burn,Burn) - Gruul Ramp - Mono Red Kiln   Fiend,Gruul Ramp - Bogles,Izzet Faeries - Gruul Ramp - Bogles,Izzet Faeries - Gruul Ramp - Bogles,Izzet Faeries - Gruul Ramp - Bogles
