"","SetCode","NoCopies","Winrate"
"1","ZEN",1588,0.723
"2","MH1",1548,0.718
"3","LEA",1547,0.726
"4","ONS",1268,0.724
"5","ZNR",955,0.726
"6","ELD",910,0.727
"7","THB",690,0.728
"8","CON",677,0.734
"9","5DN",657,0.723
"10","M20",655,0.738
"11","WWK",654,0.724
"12","RAV",628,0.723
"13","NPH",609,0.722
"14","WAR",575,0.729
"15","DIS",565,0.731
"16","LRW",536,0.732
"17","IKO",496,0.73
"18","ARB",485,0.718
"19","ICE",468,0.73
"20","FUT",465,0.72
"21","TSP",436,0.718
"22","SOM",419,0.719
"23","KLD",399,0.707
"24","KTK",363,0.722
"25","GPT",361,0.732
"26","AER",360,0.707
"27","RNA",351,0.731
"28","CSP",349,0.731
"29","ROE",333,0.708
"30","SHM",327,0.726
"31","PLC",318,0.727
"32","EMN",299,0.719
"33","RTR",283,0.722
"34","KHM",250,0.712
"35","M21",241,0.701
"36","XLN",235,0.72
"37","OGW",220,0.719
"38","M11",217,0.734
"39","DST",211,0.718
"40","M12",202,0.722
"41","STH",189,0.727
"42","GTC",189,0.718
"43","TMP",189,0.711
"44","AKH",173,0.712
"45","DTK",171,0.717
"46","CHK",169,0.721
"47","ATQ",168,0.715
"48","DKA",163,0.706
"49","DRK",162,0.707
"50","MBS",155,0.709
"51","INV",154,0.701
"52","AVR",153,0.727
"53","ALA",151,0.723
"54","MRD",145,0.716
"55","SOI",145,0.721
"56","JOU",143,0.705
"57","DOM",137,0.72
"58","HOU",132,0.735
"59","ISD",129,0.706
"60","JUD",124,0.72
"61","SOK",122,0.72
"62","DGM",111,0.729
"63","M19",91,0.736
"64","GRN",82,0.729
"65","PLS",82,0.717
"66","FRF",75,0.725
"67","EVE",68,0.705
"68","THS",59,0.713
"69","WTH",58,0.739
"70","MOR",49,0.744
"71","ULG",49,0.691
"72","CMD",40,0.692
"73","ARN",40,0.721
"74","M15",33,0.725
"75","BFZ",33,0.731
"76","M13",27,0.689
"77","LEG",23,0.707
"78","M10",21,0.681
"79","BNG",20,0.753
"80","BOK",16,0.678
"81","APC",14,0.739
"82","ODY",14,0.697
"83","NEM",13,0.694
"84","ORI",13,0.725
"85","M14",9,0.682
"86","ALL",9,0.72
"87","P02",8,0.778
"88","RIX",5,0.714
"89","SCG",4,0.667
