"","CardNames","DeckCount","Winrate95Min"
"1","Boseiju, Who Shelters All",1,71.5
"2","Wall of Shards",1,71.5
"3","Veil of Summer",70,71.5
"4","Mystical Dispute",112,71.4
"5","Celestial Purge",44,71
"6","Ashiok, Dream Render",49,69.9
"7","Aether Gust",103,69.9
"8","Engineered Explosives",61,69.6
"9","Lightning Bolt",21,69.3
"10","Lurrus of the Dream-Den",68,69.1
"11","Kozilek's Return",39,69
"12","Force of Negation",26,68.5
"13","Supreme Verdict",39,68.5
"14","Soul-Guide Lantern",71,68.4
"15","Path to Exile",76,68.4
"16","Dismember",35,68.3
"17","Pact of Negation",6,68.1
"18","Pithing Needle",50,68.1
"19","Spell Pierce",39,67.9
"20","Gaea's Blessing",17,67.8
"21","Echoing Truth",10,67.4
"22","Cleansing Wildfire",29,67.3
"23","Timely Reinforcements",36,67.3
"24","Boil",49,67.3
"25","Leyline of Sanctity",34,67.1
"26","Auriok Champion",59,67.1
"27","Thoughtseize",27,67
"28","Wear // Tear",37,67
"29","Surgical Extraction",41,67
"30","Kolaghan's Command",32,66.7
"31","Firespout",39,66.7
"32","Rest in Peace",53,66.6
"33","Kroxa, Titan of Death's Hunger",12,66.5
"34","Wheel of Sun and Moon",16,66.3
"35","Abrade",41,66.2
"36","Empty the Warrens",5,65.7
"37","Magus of the Moon",18,65.7
"38","Vapor Snag",26,65.6
"39","Tormod's Crypt",24,65.5
"40","Fatal Push",34,65.5
"41","Kor Firewalker",42,65.3
"42","Field of the Dead",12,64.8
"43","Angrath's Rampage",13,64.6
"44","Kozilek, Butcher of Truth",13,64.5
"45","Slaughter Pact",6,64.4
"46","Force of Vigor",13,64
"47","Skullcrack",13,64
"48","Smash to Smithereens",19,64
"49","Bonecrusher Giant",13,63.9
"50","Bedlam Reveler",22,63.9
