"","CardNames","DeckCount","Winrate95Min"
"1","Teferi, Hero of Dominaria",37,71.7
"2","Growth Spiral",43,71.7
"3","Raugrin Triome",83,71.5
"4","Hour of Promise",30,71.3
"5","Flooded Strand",123,71.1
"6","Hallowed Fountain",109,70.9
"7","Omnath, Locus of Creation",52,70.8
"8","Uro, Titan of Nature's Wrath",76,70.8
"9","Breeding Pool",116,70.8
"10","Path to Exile",67,70.7
"11","Forest",117,70.7
"12","Jace, the Mind Sculptor",37,70.6
"13","Ketria Triome",83,70.6
"14","Teferi, Time Raveler",97,70.6
"15","Plains",115,70.5
"16","Mystic Sanctuary",85,70.4
"17","Cryptic Command",69,70.3
"18","Temple Garden",89,70.3
"19","Steam Vents",130,70.3
"20","Field of the Dead",62,70.1
"21","Misty Rainforest",118,70.1
"22","Snow-Covered Island",96,70
"23","Island",107,69.9
"24","Mana Leak",45,69.8
"25","Force of Negation",109,69.8
"26","Snow-Covered Forest",71,69.7
"27","Wrenn and Six",51,69.5
"28","Snow-Covered Plains",78,69.4
"29","Lightning Bolt",139,69.4
"30","Stomping Ground",68,69.2
"31","Scalding Tarn",111,69.1
"32","Marsh Flats",41,69
"33","Simian Spirit Guide",66,68.9
"34","Monastery Swiftspear",74,68.9
"35","Polluted Delta",76,68.8
"36","Godless Shrine",22,68.6
"37","Cavern of Souls",42,68.6
"38","Field of Ruin",56,68.6
"39","Arid Mesa",61,68.5
"40","Windswept Heath",64,68.2
"41","Valki, God of Lies",49,68.1
"42","Gemstone Caverns",53,68.1
"43","Dismember",34,68
"44","Sunbaked Canyon",54,68
"45","Wooded Foothills",87,68
"46","Watery Grave",69,67.9
"47","Mountain",106,67.9
"48","Mystical Dispute",21,67.8
"49","Violent Outburst",53,67.8
"50","Mishra's Bauble",62,67.8
