"","CardNames","DeckCount","WinrateAverage"
"1","Mystical Dispute",112,74.3
"2","Aether Gust",103,73
"3","Path to Exile",76,72
"4","Soul-Guide Lantern",71,72.1
"5","Veil of Summer",70,75.1
"6","Lurrus of the Dream-Den",68,73
"7","Engineered Explosives",61,73.6
"8","Auriok Champion",59,71.3
"9","Rest in Peace",53,71.2
"10","Pithing Needle",50,72.7
"11","Ashiok, Dream Render",49,74.3
"12","Boil",49,72
"13","Celestial Purge",44,75.5
"14","Kor Firewalker",42,70.5
"15","Surgical Extraction",41,72.1
"16","Abrade",41,71.3
"17","Supreme Verdict",39,73.6
"18","Kozilek's Return",39,74.1
"19","Spell Pierce",39,73.1
"20","Firespout",39,72
"21","Wear // Tear",37,72.5
"22","Timely Reinforcements",36,72.8
"23","Dismember",35,73.7
"24","Leyline of Sanctity",34,72.8
"25","Fatal Push",34,71.2
"26","Kolaghan's Command",32,72.5
"27","Damping Sphere",32,68.1
"28","Cleansing Wildfire",29,73.3
"29","Deafening Silence",28,68.3
"30","Thoughtseize",27,73.3
"31","Vapor Snag",26,72.1
"32","Force of Negation",26,74.9
"33","Blood Moon",25,69
"34","Skyclave Apparition",25,70.6
"35","Tormod's Crypt",24,72.3
"36","Relic of Progenitus",24,69.7
"37","Bedlam Reveler",22,71.2
"38","Lightning Bolt",21,75.9
"39","Nihil Spellbomb",21,71.3
"40","Roiling Vortex",21,70.2
"41","Smash to Smithereens",19,71.8
"42","Magus of the Moon",18,73.5
"43","Ravenous Trap",18,71.2
"44","Choke",17,69.9
"45","Gaea's Blessing",17,75.3
"46","Assassin's Trophy",16,71.9
"47","Wheel of Sun and Moon",16,74.5
"48","Aven Mindcensor",15,68.7
"49","Collector Ouphe",15,70.6
"50","Mindbreak Trap",15,69.6
