"","Artist","NoCopies","Winrate"
"1","Rob Alexander",2156,0.729
"2","Christopher Rush",1062,0.731
"3","Tomasz Jedruszek",488,0.727
"4","Eric Deschamps",470,0.714
"5","Chippy",469,0.72
"6","Steve Argyle",459,0.72
"7","Shelly Wan",437,0.727
"8","Todd Lockwood",430,0.729
"9","Paul Scott Canavan",413,0.729
"10","Seb McKinnon",412,0.738
"11","Vincent Proce",384,0.736
"12","Terese Nielsen",369,0.722
"13","Ryan Pancoast",369,0.719
"14","Chris Rallis",364,0.743
"15","Adam Paquette",363,0.715
"16","Philip Straub",334,0.721
"17","Michael Sutfin",313,0.713
"18","Kev Walker",308,0.727
"19","Aleksi Briclot",308,0.724
"20","Jonas De Ro",304,0.736
"21","Douglas Shuler",299,0.713
"22","Raymond Swanland",293,0.722
"23","Franz Vohwinkel",286,0.71
"24","Cliff Childs",285,0.726
"25","Ekaterina Burmak",277,0.744
"26","Greg Hildebrandt",277,0.726
"27","Dave DeVries",263,0.728
"28","Vance Kovacs",252,0.721
"29","Chase Stone",246,0.738
"30","Howard Lyon",246,0.727
"31","Sam Burley",244,0.73
"32","Jason Chan",242,0.747
"33","Mark Poole",242,0.723
"34","Svetlin Velinov",238,0.731
"35","Jesper Myrfors",235,0.734
"36","Randy Vargas",232,0.738
"37","Jeff Miracola",232,0.726
"38","Dave Kendall",230,0.718
"39","Donato Giancola",220,0.706
"40","Mark Zug",220,0.713
"41","Richard Whitters",212,0.723
"42","Yongjae Choi",208,0.729
"43","Ron Spears",205,0.717
"44","Mark Tedin",202,0.699
"45","James Paick",199,0.719
"46","Pete Venters",195,0.721
"47","Dmitry Burmak",194,0.72
"48","Lius Lasahido",191,0.73
"49","Cyril Van Der Haegen",185,0.719
"50","Izzy",184,0.723
"51","Anthony S. Waters",183,0.718
"52","Yeong-Hao Han",183,0.725
"53","Wayne England",182,0.736
"54","Daarken",178,0.716
"55","Anson Maddocks",177,0.729
"56","Michael Komarck",176,0.712
"57","Dimitar Marinski",173,0.727
"58","Chris Rahn",170,0.732
"59","Darrell Riche",163,0.725
"60","Martina Pilcerova",160,0.721
"61","Mike Bierek",159,0.713
"62","John Avon",157,0.718
"63","Richard Wright",155,0.708
"64","Steven Belledin",152,0.716
"65","Matt Stewart",152,0.708
"66","Tom Wänerstrand",145,0.694
"67","Greg Staples",143,0.726
"68","Cynthia Sheppard",139,0.732
"69","Warren Mahy",138,0.715
"70","Christopher Moeller",137,0.706
"71","Victor Adame Minguez",128,0.727
"72","Jung Park",126,0.715
"73","Ben Thompson",123,0.717
"74","Gabor Szikszai",116,0.72
"75","Igor Kieryluk",115,0.693
"76","John Howe",113,0.707
"77","Heather Hudson",113,0.716
"78","Caroline Gariba",112,0.72
"79","Dan Frazier",101,0.713
"80","John Matson",93,0.734
"81","Noah Bradley",92,0.725
"82","Amy Weber",92,0.73
"83","Zoltan Boros",91,0.71
"84","Kieran Yanner",90,0.728
"85","Mark A. Nelson",88,0.718
"86","David Martin",85,0.752
"87","Campbell White",84,0.71
"88","Pat Morrissey",83,0.734
"89","rk post",83,0.715
"90","Daniel Ljunggren",82,0.691
"91","Slawomir Maniak",81,0.727
"92","Jesper Ejsing",78,0.732
"93","Wisnu Tan",78,0.711
"94","Jason Rainville",77,0.703
"95","Jana Schirmer & Johannes Voss",75,0.706
"96","Magali Villeneuve",74,0.714
"97","Heonhwa Choe",73,0.716
"98","Adam Rex",73,0.71
"99","Jaime Jones",72,0.722
"100","Johann Bodin",71,0.709
"101","Dan Scott",69,0.707
"102","Jason Felix",68,0.698
"103","Craig J Spearing",66,0.729
"104","Zoltan Boros & Gabor Szikszai",64,0.717
"105","Jean-Sébastien Rossbach",61,0.701
"106","Lars Grant-West",60,0.735
"107","Mathias Kollros",58,0.735
"108","Justin Murray",56,0.731
"109","Peter Mohrbacher",56,0.722
"110","John Stanko",53,0.72
"111","Raoul Vitale",53,0.694
"112","Thomas M. Baxa",52,0.75
"113","Robbie Trevino",48,0.735
"114","Filip Burburan",48,0.705
"115","Johannes Voss",44,0.689
"116","Wesley Burt",44,0.71
"117","Volkan Baǵa",44,0.695
"118","Brom",42,0.712
"119","Chris Ostrowski",41,0.729
"120","Nicholas Gregory",40,0.697
"121","Caio Monteiro",39,0.674
"122","Alayna Danner",39,0.677
"123","Willian Murai",38,0.714
"124","Charles Urbach",36,0.743
"125","Simon Dominic",36,0.737
"126","Nils Hamm",36,0.694
