"","Artist","NoCopies","Winrate"
"1","Rob Alexander",2460,0.733
"2","Anastasia Ovchinnikova",786,0.739
"3","Christopher Rush",780,0.73
"4","Chippy",662,0.753
"5","John Stanko",642,0.727
"6","Eric Deschamps",608,0.73
"7","Simon Dominic",601,0.75
"8","Mark Poole",596,0.736
"9","Aleksi Briclot",540,0.743
"10","Philip Straub",495,0.746
"11","Titus Lunter",476,0.723
"12","Howard Lyon",451,0.732
"13","Martina Fackova",439,0.753
"14","Kari Christensen",438,0.748
"15","John Avon",435,0.752
"16","Vance Kovacs",404,0.747
"17","Adam Paquette",400,0.732
"18","Shelly Wan",389,0.731
"19","Randy Vargas",379,0.724
"20","Jason Chan",379,0.714
"21","Alayna Danner",357,0.753
"22","Jung Park",357,0.709
"23","Svetlin Velinov",349,0.706
"24","Vincent Proce",347,0.733
"25","Cyril Van Der Haegen",345,0.708
"26","Ron Spears",333,0.743
"27","Ryan Pancoast",327,0.733
"28","Iain McCaig",292,0.752
"29","Chris Rallis",275,0.716
"30","Izzy",273,0.725
"31","Yeong-Hao Han",273,0.717
"32","Daarken",269,0.758
"33","Franz Vohwinkel",263,0.737
"34","Michael C. Hayes",260,0.704
"35","Dmitry Burmak",259,0.706
"36","Jean-Sébastien Rossbach",257,0.735
"37","Chris Ostrowski",242,0.736
"38","Raoul Vitale",242,0.733
"39","Mike Bierek",240,0.701
"40","Tomasz Jedruszek",228,0.74
"41","Anthony S. Waters",217,0.722
"42","Lake Hurwitz",217,0.722
"43","Evan Shipard",216,0.735
"44","Jesper Myrfors",213,0.723
"45","Cliff Childs",211,0.736
"46","Chase Stone",210,0.721
"47","Paul Scott Canavan",209,0.721
"48","Raymond Swanland",205,0.716
"49","Douglas Shuler",196,0.738
"50","Jason Rainville",187,0.734
"51","Tom Wänerstrand",181,0.728
"52","Greg Staples",180,0.747
"53","Mark Zug",177,0.718
"54","Ekaterina Burmak",175,0.741
"55","Warren Mahy",174,0.728
"56","Chris Rahn",173,0.722
"57","Lucas Graciano",168,0.748
"58","Jonas De Ro",166,0.716
"59","Amy Weber",165,0.695
"60","Zezhou Chen",158,0.748
"61","Pete Venters",158,0.708
"62","Todd Lockwood",157,0.73
"63","Christine Choi",157,0.722
"64","Slawomir Maniak",151,0.733
"65","Sam Burley",149,0.724
"66","Mark Tedin",148,0.707
"67","Anson Maddocks",146,0.718
"68","Richard Whitters",138,0.734
"69","Terese Nielsen",135,0.722
"70","Matt Stewart",132,0.721
"71","Kieran Yanner",129,0.723
"72","DiTerlizzi",129,0.76
"73","Seb McKinnon",127,0.693
"74","Steve Argyle",125,0.708
"75","Lars Grant-West",122,0.695
"76","Kev Walker",121,0.709
"77","Christopher Moeller",118,0.707
"78","Campbell White",117,0.704
"79","Steven Belledin",117,0.716
"80","Scott Murphy",116,0.755
"81","Johannes Voss",115,0.731
"82","James Paick",115,0.725
"83","Greg Hildebrandt",114,0.679
"84","Filip Burburan",113,0.727
"85","Nicholas Gregory",111,0.718
"86","Yongjae Choi",104,0.703
"87","Jim Nelson",104,0.735
"88","Dan Frazier",96,0.737
"89","David Martin",92,0.719
"90","Dan Scott",90,0.726
"91","Volkan Baǵa",85,0.741
"92","Craig J Spearing",85,0.718
"93","Nils Hamm",84,0.683
"94","Nicholas Elias",78,0.72
"95","Dave Kendall",76,0.728
"96","Darrell Riche",75,0.724
"97","Martina Pilcerova",74,0.703
"98","Daniel Ljunggren",70,0.71
"99","Cynthia Sheppard",70,0.726
"100","Michael Sutfin",70,0.716
"101","Pat Morrissey",69,0.715
"102","Bastien L. Deharme",64,0.731
"103","Justin Murray",64,0.738
"104","Mark Winters",64,0.718
"105","Heather Hudson",64,0.699
"106","Antonio José Manzanedo",57,0.764
"107","Zoltan Boros",57,0.683
"108","Wisnu Tan",56,0.702
"109","Michael Komarck",55,0.71
"110","Richard Wright",54,0.72
"111","Jeff Miracola",54,0.689
"112","Alexander Forssberg",53,0.74
"113","Heonhwa Choe",52,0.703
"114","Khang Le",48,0.764
"115","Jaime Jones",41,0.75
"116","Lucas Staniec",40,0.731
"117","Fred Fields",40,0.723
"118","Victor Adame Minguez",40,0.714
