"","SetCode","NoCopies","Winrate"
"1","MH2",4654,0.732
"2","ZEN",1905,0.733
"3","LEA",1662,0.735
"4","MH1",1534,0.719
"5","ONS",1424,0.732
"6","WWK",852,0.744
"7","ELD",773,0.74
"8","LRW",721,0.724
"9","NEO",656,0.726
"10","DIS",623,0.736
"11","STX",599,0.745
"12","RAV",567,0.729
"13","SOM",564,0.724
"14","GPT",557,0.736
"15","CSP",543,0.752
"16","WAR",506,0.726
"17","ZNR",497,0.71
"18","FUT",477,0.725
"19","KLD",464,0.718
"20","THB",444,0.731
"21","M20",435,0.712
"22","ICE",424,0.719
"23","IKO",409,0.726
"24","5DN",404,0.733
"25","NPH",361,0.713
"26","EMN",331,0.721
"27","MRD",320,0.721
"28","MID",288,0.726
"29","AER",287,0.737
"30","AVR",286,0.728
"31","ROE",285,0.739
"32","M11",278,0.736
"33","ATQ",267,0.706
"34","ALA",262,0.735
"35","TSP",247,0.722
"36","ARB",233,0.722
"37","DTK",209,0.757
"38","AFR",192,0.716
"39","PLS",192,0.756
"40","MBS",191,0.703
"41","DRK",159,0.724
"42","SHM",155,0.718
"43","KTK",154,0.716
"44","M19",153,0.752
"45","CON",151,0.721
"46","RNA",145,0.711
"47","PC2",136,0.738
"48","CHK",135,0.736
"49","DKA",127,0.694
"50","SOK",125,0.71
"51","M21",121,0.7
"52","AKH",117,0.728
"53","RTR",117,0.724
"54","HOU",101,0.707
"55","APC",97,0.714
"56","DST",97,0.72
"57","PLC",92,0.688
"58","VOW",89,0.744
"59","OGW",81,0.749
"60","GTC",77,0.703
"61","DGM",75,0.741
"62","ISD",71,0.73
"63","DOM",69,0.738
"64","JOU",68,0.703
"65","CMD",67,0.716
"66","SOI",64,0.701
"67","MOR",56,0.678
"68","NEM",49,0.684
"69","XLN",42,0.701
"70","JUD",41,0.724
"71","GRN",40,0.714
"72","MIR",39,0.681
"73","M15",38,0.751
"74","INV",37,0.764
"75","BFZ",37,0.697
"76","ORI",36,0.712
"77","EVE",35,0.721
"78","STH",30,0.691
"79","KHM",29,0.718
"80","WTH",27,0.689
"81","M12",26,0.706
"82","ULG",25,0.714
"83","M10",25,0.655
"84","TMP",22,0.727
"85","THS",20,0.712
"86","FRF",16,0.712
"87","BOK",16,0.718
"88","PTK",13,0.739
"89","ARN",12,0.667
"90","M13",12,0.722
"91","LEG",8,0.742
"92","M14",8,0.652
"93","VIS",8,0.688
"94","EXO",7,0.688
"95","RIX",4,0.75
"96","P02",4,0.571
"97","ALL",2,0.667
"98","C14",1,0.75
"99","ODY",1,0.75
