"","CardNames","DeckCount","Winrate95Min"
"1","Blood Crypt",81,72.5
"2","Mishra's Bauble",137,72.4
"3","Dragon's Rage Channeler",109,72.2
"4","Ragavan, Nimble Pilferer",146,72.2
"5","Scalding Tarn",173,71.9
"6","Death's Shadow",52,71.8
"7","Kroxa, Titan of Death's Hunger",56,71.7
"8","Expressive Iteration",127,71.7
"9","Unholy Heat",122,71.7
"10","Kolaghan's Command",60,71.6
"11","Dress Down",64,71.6
"12","Drown in the Loch",60,71.5
"13","Steam Vents",185,71.5
"14","Watery Grave",61,71.4
"15","Bloodstained Mire",89,71.4
"16","Polluted Delta",102,71.4
"17","Lightning Bolt",144,71.4
"18","Inquisition of Kozilek",69,71.3
"19","Thoughtseize",79,71.3
"20","Spell Pierce",47,70.6
"21","Island",92,70.2
"22","Primeval Titan",28,70.1
"23","Forest",95,70.1
"24","Misty Rainforest",138,70.1
"25","Spirebluff Canal",63,69.9
"26","Selesnya Sanctuary",22,69.8
"27","Fatal Push",48,69.8
"28","Otawara, Soaring City",54,69.7
"29","Swamp",78,69.7
"30","Counterspell",78,69.7
"31","Breeding Pool",95,69.6
"32","Mountain",94,69.6
"33","Boseiju, Who Endures",99,69.6
"34","Azusa, Lost but Seeking",26,69.5
"35","Consider",40,69.5
"36","Archmage's Charm",45,69.5
"37","Flooded Strand",128,69.5
"38","Radiant Fountain",25,69.4
"39","Cultivator Colossus",27,69.4
"40","Amulet of Vigor",27,69.4
"41","Gruul Turf",27,69.4
"42","Simic Growth Chamber",27,69.4
"43","Tolaria West",27,69.4
"44","Vesuva",27,69.4
"45","Arboreal Grazer",28,69.4
"46","Fact or Fiction",1,69.2
"47","Opt",1,69.2
"48","Fury",69,69.2
"49","Stomping Ground",75,69.2
"50","Castle Garenbrig",26,69.1
