"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"1","Dimir Control",1,1,10,0.9,0.554983882971805,0.997471421455538,10,1
"2","Azorius Control",9,8,78,0.769230769230769,0.660027339224548,0.857127187242014,9.75,1.01345728970554
"3","Heliod Combo",5,4,39,0.692307692307692,0.524308608458316,0.829804097035305,9.75,0.968362091472243
"4","Humans",5,5,41,0.707317073170732,0.544626016834637,0.838701430285692,8.2,1.01016663326169
"5","Eldrazi Tron",27,21,216,0.726851851851852,0.662260769393257,0.785099677595921,10.2857142857143,1.0245897472897
"6","Green Eldrazi",2,1,15,0.733333333333333,0.448996758963029,0.922128453708956,15,1
"7","Reclaimer Titan",1,1,8,0.625,0.244863216366552,0.914766585862746,8,0.909090909090909
"8","Ad Nauseam",3,3,26,0.730769230769231,0.522125210306169,0.884267786708496,8.66666666666667,1.01967799642218
"9","Jund Midrange",17,14,127,0.661417322834646,0.572136891737346,0.742976840288736,9.07142857142857,1.00643014868189
"10","Grixis Shadow",4,4,29,0.724137931034483,0.527615517569966,0.87265988589777,7.25,1.00127713920817
"11","Living End",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"12","Burn",6,6,44,0.659090909090909,0.5008050107057,0.795082653030518,7.33333333333333,0.986874088478367
"13","Primeval Titan",15,15,114,0.692982456140351,0.599686309453192,0.775961576138841,7.6,1.00785813439931
"14","Gifts Storm",6,4,49,0.73469387755102,0.58918285884358,0.850529271279232,12.25,1.02501235788433
"15","Neobrand",6,5,47,0.723404255319149,0.573619917210981,0.84375633139337,9.4,1.02104106147444
"16","Amulet Titan",29,21,234,0.730769230769231,0.669102634760489,0.786486003631427,11.1428571428571,1.0136587052891
"17","Dredge",9,7,68,0.691176470588235,0.567439155509687,0.797636524002587,9.71428571428571,1.04184102311231
"18","Mono Red Prowess",17,17,126,0.666666666666667,0.577192461161877,0.748102833991723,7.41176470588235,0.998601398601399
"19","Crabvine",6,6,47,0.680851063829787,0.52881874279594,0.809139492332492,7.83333333333333,1.00975655567498
"20","Izzet Control",8,5,58,0.637931034482759,0.501178979508998,0.760079180593698,11.6,0.992210445664666
"21","Yawgmoth",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"22","Jund Shadow",4,4,31,0.67741935483871,0.48627017040725,0.833176362577041,7.75,1.00058424136542
"23","WURG Control",2,1,16,0.75,0.476229180103872,0.927337961747118,16,1.0125
"24","Titan Shift",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"25","UBRG Shadow",11,9,83,0.710843373493976,0.600947492603724,0.805156931858937,9.22222222222222,0.995180722891566
"26","Infect",4,3,30,0.7,0.506040958537446,0.852654815245299,10,0.985474860335195
"27","Elementals",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"28","Badzan",1,1,10,0.9,0.554983882971805,0.997471421455538,10,1
"29","Uroza",9,9,72,0.708333333333333,0.589332845245598,0.809546701759933,8,1.0136925795053
"30","Thopter Urza",5,5,40,0.675,0.508705124521552,0.81427103323665,8,1.00193200292157
"31","Ascendancy Combo",2,1,15,0.8,0.519108866193147,0.956687994894163,15,1
"32","Green Tron",5,4,38,0.684210526315789,0.513472945593978,0.824974661098873,9.5,0.993065817892463
"33","Polymorph",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"34","Free Spells",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"35","Hardened Scales",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"36","Orzhov Taxes",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"37","Gruul Midrange",5,4,41,0.707317073170732,0.544626016834637,0.838701430285692,10.25,1.00186852398943
"38","Mardu Shadow",2,2,14,0.714285714285714,0.418964742816338,0.916110681692872,7,1
"39","Devoted",2,2,14,0.642857142857143,0.351380110615992,0.872401570140841,7,1
"40","Sultai Control",4,4,30,0.633333333333333,0.438559849011957,0.800701374987965,7.5,0.99906103286385
"41","Assault Loam",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"42","Electro Balance",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"43","Mardu Midrange",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,0.952380952380952
"44","Grinding Breach",2,2,15,0.733333333333333,0.448996758963029,0.922128453708956,7.5,1.00162601626016
"45","Niv To Light",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"46","Smallpox",2,2,19,0.789473684210526,0.544346918108494,0.93947546229071,9.5,1.06642151229602
"47","Merfolk",1,1,10,0.8,0.443904537692359,0.974789273673167,10,1
"48","Bant Control",5,5,45,0.777777777777778,0.629112447400512,0.887954061122865,9,0.981846246770243
"49","Mill",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"50","Temur Control",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
