"","PLAYERS","NB_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","PuntThenWhine",3,27,0.851851851851852,0.662689135975756,0.958112603526233,69,"Amulet Titan","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#puntthenwhine_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#puntthenwhine_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-03-01#puntthenwhine_rd_place"
"2","musasabi",3,29,0.793103448275862,0.60275305077276,0.92005815112392,69,"Jund Midrange; Smallpox; Amulet Titan","1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#musasabi_th_place"
"3","rileydk",4,31,0.709677419354839,0.519639341771091,0.857771470902475,66,"Amulet Titan","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#rileydk_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#rileydk_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#rileydk_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-03-01#rileydk_th_place"
"4","McWinSauce",3,27,0.740740740740741,0.537151257723829,0.888855437154558,60,"WURG Control; Azorius Control","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#mcwinsauce_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#mcwinsauce_nd_place"
"5","Chefen",3,25,0.8,0.592962567721323,0.931688535987516,60,"Eldrazi Tron","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-09#chefen_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-16#chefen_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-03-01#chefen_th_place"
"6","Sodeq",3,25,0.76,0.548711982183314,0.906435560668257,57,"Dredge","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-19#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-09#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#sodeq_st_place"
"7","Tiemuuu",4,29,0.655172413793103,0.456694272332057,0.820616350764888,57,"Izzet Control","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-16#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#tiemuuu_th_place"
"8","AronGomu",3,25,0.72,0.506123178193745,0.879283311495933,54,"Heliod Combo; Amulet Titan","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-19#arongomu_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#arongomu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-09#arongomu_th_place"
"9","stainerson",3,25,0.72,0.506123178193745,0.879283311495933,54,"Jund Shadow; Gruul Midrange","1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#stainerson_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-03-01#stainerson_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#stainerson_th_place"
"10","offline",3,25,0.68,0.464999282502628,0.85050457738643,51,"Amulet Titan; Thopter Urza","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-16#offline_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#offline_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#offline_nd_place"
