"","Artist","NoCopies","Winrate"
"1","Rob Alexander",1032,0.663
"2","Christopher Rush",870,0.671
"3","Terese Nielsen",680,0.664
"4","Mark Tedin",565,0.659
"5","John Stanko",475,0.67
"6","Kaja Foglio",452,0.664
"7","Anastasia Ovchinnikova",442,0.667
"8","Jesper Myrfors",437,0.65
"9","Jeff A. Menges",435,0.665
"10","April Lee",416,0.673
"11","Nils Hamm",391,0.658
"12","Donato Giancola",362,0.674
"13","Colin MacNeil",341,0.679
"14","Kev Walker",329,0.673
"15","Shelly Wan",326,0.665
"16","Matt Stewart",324,0.679
"17","Una Fricker",321,0.663
"18","Brian Snõddy",313,0.668
"19","Matthew D. Wilson",312,0.668
"20","Ryan Pancoast",300,0.667
"21","Cliff Childs",278,0.679
"22","Philip Straub",266,0.665
"23","Lucas Graciano",255,0.671
"24","Steven Belledin",252,0.656
"25","Evan Shipard",245,0.673
"26","Joseph Weston",236,0.676
"27","Adam Rex",225,0.678
"28","Mark Zug",218,0.658
"29","Martina Fackova",216,0.673
"30","Paul Scott Canavan",212,0.664
"31","rk post",199,0.652
"32","Nicholas Gregory",193,0.641
"33","Daniel Ljunggren",185,0.672
"34","Marta Nael",182,0.679
"35","Eric Deschamps",177,0.672
"36","Aleksi Briclot",170,0.635
"37","Ron Spears",170,0.657
"38","Igor Kieryluk",161,0.644
"39","Chippy",156,0.685
"40","Mike Ploog",152,0.646
"41","Anson Maddocks",149,0.66
"42","Jana Schirmer & Johannes Voss",140,0.663
"43","Mark Poole",136,0.664
"44","Vincent Proce",132,0.659
"45","Nicola Leonard",130,0.68
"46","Titus Lunter",130,0.686
"47","Randy Vargas",130,0.665
"48","Julian Kok Joon Wen",128,0.674
"49","Richard Thomas",126,0.644
"50","Rebecca Guay",124,0.66
"51","Sandra Everingham",120,0.642
"52","Robert Bliss",119,0.64
"53","Douglas Shuler",116,0.656
"54","Dan Frazier",108,0.625
"55","David Palumbo",99,0.68
"56","Pete Venters",95,0.696
"57","Scott M. Fischer",95,0.663
"58","Izzy",92,0.683
"59","Gabor Szikszai",88,0.641
"60","Volkan Baǵa",87,0.677
"61","Raoul Vitale",87,0.687
"62","Greg Hildebrandt",84,0.674
"63","Iain McCaig",79,0.665
"64","Carl Critchlow",76,0.647
"65","John Zeleznik",76,0.672
"66","Mike Bierek",75,0.639
"67","Vance Kovacs",74,0.651
"68","Andreas Zafiratos",72,0.654
