"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Mono White Dungeon - Izzet Delver - 4c Control - Reanimator,8-cast - The Epic Storm - Bant control,Mono White Dungeon - Izzet Delver - 4c Control,Mono White Dungeon - Izzet Delver - 4c Control,Mono White Dungeon - Izzet Delver - 4c Control
"Tiers 1.5",Cephalid breakfast - Mono Red Painter - Dimir Death 's Shadow - Grixis Tempo,Grixis Tempo - Mono White Dungeon - Riddlesmith combo - Izzet Delver - Mono White Hammer - Cephalid breakfast - Doomsday - 4c Control,Grixis Tempo - Cephalid breakfast - Reanimator - Dimir Death 's Shadow - Mono Red Painter - 8-cast - Elves - The Epic Storm,Grixis Tempo - Cephalid breakfast - 8-cast - Reanimator - The Epic Storm - Dimir Death 's Shadow,Grixis Tempo - Cephalid breakfast - 8-cast - Reanimator - The Epic Storm - Dimir Death 's Shadow
"Tiers 2",Elves - Sneak & Show - Boros Dungeon - Mono White Hammer - Maverick - Death & Taxes - The Epic Storm - Esper Stoneblade - 8-cast - Doomsday - Bant control - Dimir Tempo - Riddlesmith combo - Temur Delver,Elves - Boros Dungeon - Maverick - Dimir Tempo - Dimir Death 's Shadow - Mono Red Painter - Death & Taxes - Sneak & Show - Reanimator,Mono White Hammer - Boros Dungeon - Sneak & Show - Bant control - Maverick - Riddlesmith combo - Doomsday - Death & Taxes,Mono Red Painter - Bant control - Mono White Hammer - Elves - Boros Dungeon - Riddlesmith combo - Maverick - Sneak & Show - Doomsday - Death & Taxes - Dimir Tempo,Mono Red Painter - Bant control - Mono White Hammer - Elves - Boros Dungeon - Riddlesmith combo - Maverick - Sneak & Show - Doomsday - Death & Taxes - Dimir Tempo
"Tiers 2.5",,Esper Stoneblade - Temur Delver,Dimir Tempo - Esper Stoneblade - Temur Delver,Esper Stoneblade - Temur Delver,Esper Stoneblade - Temur Delver
