"","SetCode","NoCopies","Winrate"
"1","LEA",2009,0.656
"2","MH2",1775,0.665
"3","TMP",1235,0.67
"4","ICE",1169,0.664
"5","ZEN",771,0.661
"6","ONS",716,0.661
"7","LRW",703,0.653
"8","CLB",568,0.67
"9","ALL",567,0.662
"10","MRD",503,0.686
"11","MH1",484,0.661
"12","AVR",446,0.661
"13","USG",436,0.662
"14","STX",432,0.673
"15","NEO",421,0.673
"16","ELD",379,0.675
"17","ZNR",371,0.67
"18","NEM",337,0.662
"19","LEB",302,0.666
"20","NPH",281,0.656
"21","EXO",279,0.67
"22","DKA",270,0.662
"23","GPT",264,0.679
"24","ISD",259,0.655
"25","MMQ",244,0.647
"26","CSP",239,0.679
"27","SHM",184,0.668
"28","AER",174,0.673
"29","THB",171,0.673
"30","FUT",156,0.656
"31","LEG",136,0.674
"32","M20",132,0.667
"33","BRO",131,0.675
"34","PC2",130,0.638
"35","WWK",128,0.647
"36","CN2",125,0.672
"37","BOK",108,0.671
"38","SOM",101,0.676
"39","ULG",100,0.664
"40","ODY",89,0.625
"41","WTH",84,0.67
"42","TOR",82,0.68
"43","PLC",78,0.648
"44","WAR",74,0.681
"45","STH",70,0.677
"46","DST",66,0.66
"47","RAV",62,0.653
"48","DMU",62,0.639
"49","SCG",56,0.678
"50","CMR",56,0.622
"51","C13",51,0.633
"52","TSP",49,0.678
"53","VIS",48,0.651
"54","CMD",46,0.642
"55","MIR",45,0.722
"56","HOU",45,0.673
"57","MBS",42,0.663
"58","RTR",40,0.646
"59","JUD",39,0.674
"60","EVE",39,0.646
"61","ROE",39,0.616
"62","ALA",36,0.717
"63","M11",34,0.616
"64","JMP",33,0.661
"65","IKO",33,0.627
"66","MOR",31,0.647
"67","ATQ",31,0.625
"68","SOK",30,0.675
"69","AFR",29,0.677
"70","CHK",27,0.623
"71","M13",27,0.606
"72","SNC",27,0.629
"73","EMN",26,0.68
"74","CON",25,0.661
"75","C18",24,0.645
"76","POR",22,0.649
"77","5DN",19,0.661
"78","FEM",19,0.62
"79","PLS",16,0.692
"80","MID",16,0.627
"81","BNG",16,0.64
"82","GRN",15,0.684
"83","DIS",14,0.694
"84","KHM",13,0.667
"85","NEC",12,0.769
"86","DOM",12,0.581
"87","CNS",11,0.655
"88","M19",10,0.727
"89","M12",10,0.6
"90","M10",9,0.775
"91","C19",9,0.65
"92","GTC",9,0.5
"93","M14",8,0.698
"94","FRF",5,0.632
"95","RIX",5,0.5
"96","JOU",4,0.714
"97","SOI",4,0.571
"98","XLN",4,0.571
"99","BBD",4,0.5
"100","KTK",3,0.6
"101","INV",3,0.714
"102","PTK",2,0.889
"103","ORI",2,0.75
"104","DTK",2,0.583
"105","THS",2,0.538
"106","RNA",2,0.5
"107","ARN",1,0.714
"108","AKH",1,0.667
