"","PLAYERS","NB_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","musasabi",6,45,0.666666666666667,0.510496362141639,0.799994311989305,90,"Reclaimer Titan; Omnath Saheeli; Shadow Prowess","2; 2; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#musasabi_th_place"
"2","Tiemuuu",4,35,0.771428571428571,0.598636743892685,0.895789568052185,81,"Izzet Control","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#tiemuuu_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#tiemuuu_th_place"
"3","FreedMania",3,30,0.766666666666667,0.577163477021781,0.90066213504198,69,"Amulet Titan","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#freedmania_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#freedmania_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#freedmania_th_place"
"4","HouseOfManaMTG",4,31,0.709677419354839,0.519639341771091,0.857771470902475,66,"Amulet Titan","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#houseofmanamtg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#houseofmanamtg_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#houseofmanamtg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#houseofmanamtg_th_place"
"5","patheus_84",4,30,0.7,0.506040958537446,0.852654815245299,63,"Ad Nauseam","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#patheus__st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#patheus__th_place"
"6","McWinSauce",3,24,0.75,0.532887197577331,0.902269590525467,54,"WURG Control","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#mcwinsauce_th_place"
"7","Jenara19",4,30,0.6,0.406034930051819,0.773442351171406,54,"Omnath Saheeli; Azorius Control; Amulet Titan; WURG Control","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#jenara_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#jenara_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#jenara_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#jenara_nd_place"
"8","yamakiller",3,26,0.692307692307692,0.482103563554258,0.856740002072296,54,"Gruul Midrange; Obosh Aggro","1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#yamakiller_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#yamakiller_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#yamakiller_th_place"
"9","cntrlfreak",3,24,0.75,0.532887197577331,0.902269590525467,54,"Grixis Shadow; UBRG Shadow","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#cntrlfreak_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#cntrlfreak_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#cntrlfreak_th_place"
"10","DaniMRebel",4,28,0.607142857142857,0.405768206487563,0.784957170839039,51,"Spirits; Mono White Taxes; Shadow Prowess","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#danimrebel_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#danimrebel_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#danimrebel_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#danimrebel_th_place"
