"","SetCode","NoCopies","Winrate"
"1","MH2",4166,0.724
"2","LEA",2095,0.724
"3","MH1",1923,0.724
"4","ZEN",1512,0.719
"5","ONS",1168,0.721
"6","ELD",798,0.728
"7","5DN",714,0.723
"8","GPT",671,0.724
"9","LRW",661,0.715
"10","WWK",648,0.729
"11","SOM",612,0.731
"12","KLD",609,0.716
"13","M20",583,0.727
"14","CSP",505,0.719
"15","STX",481,0.723
"16","DIS",447,0.725
"17","RAV",433,0.724
"18","NPH",429,0.726
"19","THB",407,0.727
"20","IKO",399,0.733
"21","ZNR",385,0.719
"22","FUT",383,0.714
"23","WAR",381,0.737
"24","ATQ",376,0.738
"25","MRD",367,0.728
"26","ICE",364,0.703
"27","ROE",355,0.726
"28","ARB",299,0.712
"29","EMN",274,0.734
"30","MBS",268,0.733
"31","CON",265,0.725
"32","DKA",262,0.716
"33","TSP",256,0.707
"34","DRK",248,0.727
"35","ISD",221,0.72
"36","AER",221,0.723
"37","HOU",212,0.707
"38","SHM",203,0.698
"39","OGW",196,0.739
"40","PC2",191,0.729
"41","DTK",180,0.716
"42","SOK",171,0.723
"43","AKH",150,0.71
"44","APC",147,0.734
"45","NEM",145,0.741
"46","M21",137,0.703
"47","AVR",136,0.731
"48","PLS",135,0.719
"49","AFR",126,0.736
"50","CMD",111,0.738
"51","RTR",110,0.728
"52","DST",109,0.712
"53","KTK",108,0.698
"54","CHK",96,0.697
"55","ALA",93,0.721
"56","DGM",92,0.737
"57","XLN",85,0.701
"58","M12",75,0.707
"59","BFZ",68,0.754
"60","TMP",65,0.734
"61","RNA",61,0.708
"62","PLC",59,0.74
"63","M11",58,0.723
"64","SOI",49,0.736
"65","STH",49,0.721
"66","GRN",49,0.701
"67","INV",49,0.695
"68","THS",48,0.75
"69","GTC",45,0.698
"70","MOR",43,0.709
"71","EVE",41,0.711
"72","JOU",40,0.687
"73","WTH",39,0.69
"74","JUD",38,0.684
"75","P02",38,0.643
"76","DOM",36,0.719
"77","ULG",36,0.707
"78","M10",35,0.709
"79","PTK",34,0.68
"80","CN2",29,0.692
"81","FRF",22,0.722
"82","M15",20,0.734
"83","KHM",15,0.731
"84","ARN",11,0.696
"85","M13",9,0.682
"86","LEG",8,0.738
"87","MIR",7,0.76
"88","ALL",6,0.75
"89","C14",5,0.722
"90","TOR",4,0.765
"91","BNG",4,0.735
"92","SCG",4,0.625
"93","ODY",3,0.778
