"","SetCode","NoCopies","Winrate"
"1","MH1",13558,0.694
"2","LEA",11941,0.687
"3","ZEN",9431,0.69
"4","ONS",8896,0.689
"5","WWK",5803,0.69
"6","RAV",5445,0.689
"7","ELD",5383,0.697
"8","FUT",5307,0.69
"9","ICE",5134,0.699
"10","M20",5123,0.693
"11","WAR",5049,0.696
"12","THB",5008,0.694
"13","DIS",4945,0.694
"14","CON",4507,0.687
"15","LRW",4420,0.691
"16","NPH",4420,0.688
"17","SOM",3891,0.694
"18","ROE",3709,0.687
"19","OGW",3673,0.69
"20","AER",3553,0.696
"21","ZNR",3474,0.672
"22","KLD",3299,0.689
"23","GPT",3088,0.693
"24","TSP",3027,0.684
"25","KTK",2897,0.691
"26","ATQ",2892,0.689
"27","5DN",2884,0.69
"28","SHM",2299,0.692
"29","XLN",2218,0.69
"30","RNA",2218,0.689
"31","IKO",2190,0.688
"32","CSP",2189,0.696
"33","MRD",2129,0.694
"34","M11",2072,0.686
"35","AKH",2006,0.686
"36","DST",1931,0.687
"37","DKA",1870,0.692
"38","EMN",1854,0.692
"39","ISD",1840,0.695
"40","RTR",1837,0.696
"41","CHK",1749,0.683
"42","AVR",1691,0.693
"43","SOI",1589,0.688
"44","DRK",1579,0.688
"45","ALA",1577,0.689
"46","HOU",1523,0.68
"47","GRN",1517,0.692
"48","STH",1345,0.694
"49","INV",1322,0.691
"50","DOM",1239,0.694
"51","GTC",1171,0.68
"52","M21",1098,0.676
"53","MBS",1082,0.685
"54","M12",1050,0.684
"55","DTK",973,0.694
"56","TMP",967,0.678
"57","PLS",961,0.683
"58","JUD",920,0.686
"59","ARB",918,0.696
"60","FRF",832,0.689
"61","PLC",826,0.678
"62","SOK",717,0.68
"63","THS",709,0.691
"64","CMD",666,0.685
"65","BFZ",652,0.688
"66","ORI",605,0.698
"67","JOU",602,0.678
"68","WTH",558,0.688
"69","ALL",532,0.68
"70","NEM",516,0.697
"71","MOR",490,0.699
"72","M15",481,0.692
"73","EVE",460,0.683
"74","M19",456,0.68
"75","ULG",393,0.703
"76","DGM",387,0.683
"77","P02",337,0.699
"78","APC",240,0.687
"79","ARN",238,0.689
"80","M13",232,0.692
"81","ODY",210,0.671
"82","BNG",185,0.681
"83","LEG",139,0.668
"84","M10",133,0.699
"85","BOK",100,0.689
"86","M14",96,0.707
"87","RIX",83,0.674
"88","SCG",60,0.661
"89","C14",47,0.642
"90","TOR",46,0.712
"91","MIR",43,0.699
"92","USG",39,0.683
"93","POR",15,0.72
"94","EXO",4,0.571
