"","SetCode","NoCopies","Winrate"
"1","LEA",2227,0.718
"2","MID",2090,0.72
"3","ELD",1874,0.719
"4","NEO",1863,0.722
"5","ZNR",1641,0.719
"6","AFR",1449,0.718
"7","WAR",1290,0.719
"8","VOW",1117,0.727
"9","KHM",1046,0.714
"10","KLD",908,0.721
"11","M20",878,0.724
"12","STX",795,0.718
"13","IKO",702,0.719
"14","THS",632,0.724
"15","AKH",604,0.725
"16","SOI",600,0.741
"17","RTR",563,0.719
"18","GPT",558,0.721
"19","DIS",546,0.722
"20","RNA",519,0.719
"21","KTK",499,0.723
"22","THB",463,0.717
"23","RAV",436,0.708
"24","INV",431,0.732
"25","AER",427,0.707
"26","GRN",414,0.729
"27","DOM",413,0.713
"28","XLN",412,0.731
"29","M14",410,0.719
"30","DTK",389,0.718
"31","ORI",378,0.747
"32","LRW",355,0.717
"33","JOU",343,0.717
"34","DGM",327,0.719
"35","OGW",317,0.716
"36","HOU",244,0.743
"37","FRF",226,0.725
"38","ICE",225,0.734
"39","M10",219,0.719
"40","M21",211,0.718
"41","M19",209,0.734
"42","USG",185,0.729
"43","GTC",183,0.725
"44","EMN",172,0.735
"45","TSP",168,0.725
"46","DKA",135,0.71
"47","MRD",132,0.741
"48","MOR",121,0.727
"49","ZEN",118,0.729
"50","RIX",92,0.733
"51","PLC",72,0.718
"52","APC",56,0.748
"53","BFZ",54,0.683
"54","M11",50,0.739
"55","ISD",35,0.71
"56","M13",30,0.749
"57","DST",22,0.705
"58","M15",19,0.69
"59","CMD",17,0.733
"60","ALA",8,0.737
"61","LEG",4,0.778
"62","ODY",3,0.571
"63","TOR",2,0.667
"64","CON",2,0.714
"65","PTK",1,0.778
