"","SetCode","NoCopies","Winrate"
"1","LEA",28779,0.633
"2","ICE",17101,0.637
"3","MRD",11485,0.621
"4","ROE",7042,0.636
"5","MH1",5958,0.642
"6","LRW",5915,0.639
"7","TSP",5903,0.632
"8","MH2",5466,0.613
"9","ATQ",4437,0.644
"10","DST",4311,0.626
"11","WWK",4032,0.633
"12","MMQ",3700,0.635
"13","M11",3639,0.64
"14","DOM",3602,0.636
"15","USG",3274,0.63
"16","KHM",3139,0.635
"17","VIS",3130,0.625
"18","M13",2767,0.644
"19","BOK",2750,0.647
"20","DKA",2724,0.639
"21","CMR",2695,0.633
"22","SOM",2651,0.621
"23","C16",2567,0.64
"24","TOR",2438,0.636
"25","JUD",2354,0.633
"26","MBS",2105,0.628
"27","IKO",2104,0.639
"28","SHM",1984,0.619
"29","INV",1964,0.634
"30","STX",1960,0.624
"31","XLN",1915,0.634
"32","ONS",1907,0.617
"33","NPH",1882,0.62
"34","CSP",1837,0.629
"35","KTK",1756,0.652
"36","C20",1694,0.644
"37","CN2",1686,0.634
"38","ISD",1682,0.628
"39","ZEN",1631,0.627
"40","ULG",1626,0.638
"41","FRF",1445,0.635
"42","ALA",1399,0.639
"43","RTR",1398,0.631
"44","GPT",1391,0.62
"45","RAV",1362,0.643
"46","DIS",1289,0.64
"47","JMP",1184,0.644
"48","ZNR",1180,0.623
"49","TMP",1111,0.63
"50","5DN",1033,0.627
"51","ODY",1031,0.649
"52","RNA",1018,0.614
"53","HOU",1012,0.643
"54","SCG",998,0.63
"55","ELD",988,0.616
"56","SOI",974,0.634
"57","MOR",970,0.64
"58","M12",901,0.649
"59","ALL",895,0.641
"60","EVE",842,0.633
"61","CHK",833,0.615
"62","AVR",832,0.65
"63","M21",785,0.616
"64","M10",783,0.62
"65","STH",776,0.622
"66","LEG",728,0.609
"67","GTC",724,0.645
"68","PLC",714,0.611
"69","AKH",709,0.608
"70","OGW",640,0.645
"71","EMN",635,0.603
"72","KLD",632,0.605
"73","LGN",623,0.612
"74","DRK",592,0.611
"75","AFR",570,0.618
"76","CON",414,0.621
"77","THB",410,0.611
"78","FUT",391,0.624
"79","APC",381,0.621
"80","ORI",310,0.638
"81","THS",272,0.588
"82","M14",270,0.623
"83","M15",262,0.623
"84","MIR",203,0.623
"85","NEM",180,0.618
"86","ARB",173,0.618
"87","JOU",169,0.589
"88","BFZ",167,0.638
"89","HML",162,0.61
"90","PLS",151,0.632
"91","BNG",140,0.6
"92","P02",130,0.624
"93","WAR",124,0.633
"94","ARN",119,0.576
"95","SOK",98,0.636
"96","RIX",92,0.605
"97","DTK",88,0.616
"98","MID",82,0.626
"99","EXO",66,0.563
"100","PCY",63,0.635
"101","CNS",48,0.609
"102","WTH",48,0.589
"103","GRN",43,0.579
"104","FEM",39,0.592
"105","M19",32,0.593
"106","M20",24,0.627
"107","AER",22,0.563
"108","UDS",15,0.525
"109","DGM",4,0.5
