"","PLAYERS","NO_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"188","ArcanisRestored",1,4,0.75,0.194120449683243,0.99369053679029,9,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-29#arcanisrestored_-"
"189","kiko",1,4,0.75,0.194120449683243,0.99369053679029,9,"Azorius Taxes","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-30#kiko_-"
"190","pbarrrgh",1,4,0.75,0.194120449683243,0.99369053679029,9,"Reclamation","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-02#pbarrrgh_-"
"191","cntrlfreak",1,4,0.75,0.194120449683243,0.99369053679029,9,"Grixis Shadow","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-02#cntrlfreak_-"
"192","_EzMud1",1,4,0.75,0.194120449683243,0.99369053679029,9,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-03#_ezmud_-"
"193","otakkun",1,4,0.75,0.194120449683243,0.99369053679029,9,"Pyro Prison","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-03#otakkun_-"
"194","HanChoBai",1,4,0.75,0.194120449683243,0.99369053679029,9,"5 Color Turbo Tibalt","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-04#hanchobai_-"
"195","Tixis",1,4,0.75,0.194120449683243,0.99369053679029,9,"Niv To Light","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-05#tixis_-"
"196","iDaveW",1,4,0.75,0.194120449683243,0.99369053679029,9,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-05#idavew_-"
"197","NJGB1",1,4,0.75,0.194120449683243,0.99369053679029,9,"Jund Turbo Tibalt","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-06#njgb_-"
"198","patrick50",1,4,0.75,0.194120449683243,0.99369053679029,9,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-06#patrick_-"
"199","chase00111",1,4,0.75,0.194120449683243,0.99369053679029,9,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-09#chase_-"
"200","BoltTheBirds",1,4,0.75,0.194120449683243,0.99369053679029,9,"Gifts Storm","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-09#boltthebirds_-"
"201","Thrall90",1,4,0.75,0.194120449683243,0.99369053679029,9,"Stoneblade","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-10#thrall_-"
"202","DoubleB_33",1,4,0.75,0.194120449683243,0.99369053679029,9,"Mono White Taxes","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-11#doubleb__-"
"203","Ikashy",1,4,0.75,0.194120449683243,0.99369053679029,9,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-11#ikashy_-"
"204","ecobaronen",1,4,0.75,0.194120449683243,0.99369053679029,9,"5 Color Turbo Tibalt","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-12#ecobaronen_-"
"205","Oderus Urungus",1,4,0.75,0.194120449683243,0.99369053679029,9,"Reclamation","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-12#oderus_urungus_-"
"206","billsive",1,4,0.75,0.194120449683243,0.99369053679029,9,"5 Color Turbo Tibalt","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-12#billsive_-"
"207","RDW65",1,4,0.75,0.194120449683243,0.99369053679029,9,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-13#rdw_-"
"208","TheJigIsAlwaysup",1,4,0.75,0.194120449683243,0.99369053679029,9,"5 Color Turbo Tibalt","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-13#thejigisalwaysup_-"
"209","yashimoro",1,4,0.75,0.194120449683243,0.99369053679029,9,"5 Color Turbo Tibalt","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-13#yashimoro_-"
