"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Eldrazi Tron - Gruul Midrange - Burn - Jund Midrange - Amulet Titan - Green Tron - Bant Control - Dredge - Humans - WURG Control - Shadow Prowess - Uroza - Mono Red Prowess - Stoneblade - Ad Nauseam,Ascendancy Combo - Delver - Bushwhacker Zoo - Dimir Control - Blue Scapeshift - Bant Blink - Thopter Urza - Mardu Prowess - WUBG Control - Uroza - Jund Prowess,Amulet Titan - Bant Control - Blue Scapeshift - Uroza - Stoneblade - Ad Nauseam - Eldrazi Tron - Thopter Urza - WURG Control - Gruul Midrange - Reclamation - Niv To Light,Eldrazi Tron - Amulet Titan - Gruul Midrange - Bant Control - Burn - Jund Midrange - Green Tron - Dredge - WURG Control - Humans - Uroza - Stoneblade - Shadow Prowess - Ad Nauseam,Eldrazi Tron - Amulet Titan - Gruul Midrange - Bant Control - Burn - Jund Midrange - Green Tron - Dredge - WURG Control - Humans - Uroza - Stoneblade - Shadow Prowess - Ad Nauseam
"Tiers 1.5",Izzet Prowess - Devoted - Heliod Combo - Reclaimer Titan - Gifts Storm - Infect - Rakdos Prowess - Reclamation - Thopter Urza - Primeval Titan - Niv To Light - Sultai Control - Obosh Aggro - Blue Scapeshift - Grixis Shadow - Boros Prowess - Neobrand - Jund Shadow - Bogles - Mono White Taxes - Oops All Spells - Mill,Temur Control - Bant Control - Ad Nauseam - Amulet Titan - Orzhov Eldrazi Taxes - Stoneblade - Blue Tron - Niv To Light - Reclamation - Omnath Saheeli - Hardened Scales - Belcher - WURG Control - Obosh Aggro - UBRG Control - Sultai Control - Eldrazi Tron - Rakdos Prowess - Jund Shadow - Azorius Control - Azorius Taxes - Boros Prowess - Miracles - Gruul Midrange - UBRG Shadow - Devoted - Grixis Shadow,Dredge - Humans - Green Tron - Jund Midrange - Devoted - Rakdos Prowess - Burn - Shadow Prowess - Sultai Control - Temur Control - Obosh Aggro - Ascendancy Combo - Mardu Prowess - Delver - Boros Prowess - Jund Shadow - Reclaimer Titan - Grixis Shadow - Bant Blink - Bushwhacker Zoo - Mono Red Prowess - Primeval Titan - Izzet Prowess - Dimir Control - Gifts Storm - Heliod Combo - Mono White Taxes - Hardened Scales - Infect - UBRG Shadow - Oops All Spells - Neobrand - UBRG Control - Miracles,Mono Red Prowess - Devoted - Izzet Prowess - Thopter Urza - Reclamation - Blue Scapeshift - Niv To Light - Rakdos Prowess - Heliod Combo - Reclaimer Titan - Gifts Storm - Sultai Control - Infect - Primeval Titan - Obosh Aggro - Boros Prowess - Grixis Shadow - Jund Shadow - Mono White Taxes - Neobrand - Temur Control - Oops All Spells - Bogles,Mono Red Prowess - Devoted - Izzet Prowess - Thopter Urza - Reclamation - Blue Scapeshift - Niv To Light - Rakdos Prowess - Heliod Combo - Reclaimer Titan - Gifts Storm - Sultai Control - Infect - Primeval Titan - Obosh Aggro - Boros Prowess - Grixis Shadow - Jund Shadow - Mono White Taxes - Neobrand - Temur Control - Oops All Spells - Bogles
"Tiers 2",Goblins - Hammer Time - UBRG Shadow - Temur Control - Rakdos Midrange - Izzet Control - Hardened Scales - Mardu Prowess - Miracles - Urza Oko - UBRG Control - Titan Shift - Electro Balance - Spirits - Crabvine - Golgari Midrange - Azorius Control - Bant Blink - Belcher - Grinding Breach - Omnath Saheeli - Merfolk - Jeskai Control - Dimir Control - Boil Kiki Jiki - Blue Tron - Delver - Slivers,Mono White Taxes - Grinding Breach - Mono White Eldrazi Taxes - Urza Oko - Humans - Dredge - Boil Kiki Jiki - Oops All Spells - Shadow Prowess - Primeval Titan - Reclaimer Titan - Saheeli Combo - Green Eldrazi - Green Tron - Gifts Storm - Neobrand - Jund Midrange - Slivers - Heliod Combo - Titan Shift - Burn - Merfolk - Goblins - Izzet Prowess - Infect - Mono Red Prowess - Mardu Midrange - Orzhov Midrange - Rakdos Midrange - Hammer Time - Jeskai Control - Bogles,Urza Oko - Belcher - Omnath Saheeli - Goblins - Azorius Control - Blue Tron - Bogles - Hammer Time - Titan Shift - Grinding Breach - Rakdos Midrange - Orzhov Eldrazi Taxes - WUBG Control - Jund Prowess - Mill - Boil Kiki Jiki - Merfolk - Mono White Eldrazi Taxes - Electro Balance - Slivers,Mardu Prowess - UBRG Shadow - Hardened Scales - Goblins - Hammer Time - Mill - Miracles - UBRG Control - Rakdos Midrange - Urza Oko - Bant Blink - Titan Shift - Delver - Dimir Control - Azorius Control - Belcher - Izzet Control - Bushwhacker Zoo - Omnath Saheeli - Ascendancy Combo - Grinding Breach - Electro Balance - Blue Tron - Crabvine - Golgari Midrange - Merfolk - Spirits - Boil Kiki Jiki - Orzhov Eldrazi Taxes - Jeskai Control,Mardu Prowess - UBRG Shadow - Hardened Scales - Goblins - Hammer Time - Mill - Miracles - UBRG Control - Rakdos Midrange - Urza Oko - Bant Blink - Titan Shift - Delver - Dimir Control - Azorius Control - Belcher - Izzet Control - Bushwhacker Zoo - Omnath Saheeli - Ascendancy Combo - Grinding Breach - Electro Balance - Blue Tron - Crabvine - Golgari Midrange - Merfolk - Spirits - Boil Kiki Jiki - Orzhov Eldrazi Taxes - Jeskai Control
"Tiers 2.5",Bushwhacker Zoo - Mono White Eldrazi Taxes - Kiki Chord - Naya Midrange - Saheeli Combo - Orzhov Eldrazi Taxes - Orzhov Midrange - Ascendancy Combo - WUBG Control - Jund Prowess - Yawgmoth - Elementals - Mardu Midrange - Azorius Taxes - Electro End - Green Eldrazi,Naya Midrange - Electro Balance - Crabvine - Elementals - Yawgmoth - Mill - Golgari Midrange - Spirits - Izzet Control - Electro End - Kiki Chord,Crabvine - Saheeli Combo - Jeskai Control - Izzet Control - Golgari Midrange - Azorius Taxes - Spirits - Orzhov Midrange - Naya Midrange - Mardu Midrange - Green Eldrazi - Yawgmoth - Elementals - Kiki Chord - Electro End,WUBG Control - Slivers - Mono White Eldrazi Taxes - Jund Prowess - Saheeli Combo - Naya Midrange - Azorius Taxes - Orzhov Midrange - Mardu Midrange - Yawgmoth - Elementals - Kiki Chord - Green Eldrazi - Electro End,WUBG Control - Slivers - Mono White Eldrazi Taxes - Jund Prowess - Saheeli Combo - Naya Midrange - Azorius Taxes - Orzhov Midrange - Mardu Midrange - Yawgmoth - Elementals - Kiki Chord - Green Eldrazi - Electro End
