"","SetCode","NoCopies","Winrate"
"1","LEA",3001,0.647
"2","MRD",1540,0.655
"3","ICE",1481,0.66
"4","SOM",973,0.65
"5","MH2",741,0.655
"6","NEO",532,0.659
"7","MBS",518,0.656
"8","LRW",505,0.654
"9","MH1",495,0.661
"10","TSP",459,0.656
"11","VOW",403,0.642
"12","ZEN",388,0.66
"13","AFR",373,0.656
"14","M11",345,0.667
"15","USG",344,0.652
"16","KTK",328,0.641
"17","TOR",319,0.646
"18","IKO",307,0.651
"19","ROE",306,0.653
"20","XLN",305,0.651
"21","SOI",293,0.644
"22","RAV",276,0.644
"23","KHM",261,0.648
"24","WWK",260,0.653
"25","MMQ",260,0.651
"26","C16",258,0.661
"27","M13",257,0.666
"28","DIS",232,0.645
"29","DKA",213,0.652
"30","ULG",212,0.647
"31","ALL",201,0.658
"32","ALA",200,0.641
"33","JUD",195,0.637
"34","ISD",191,0.631
"35","ONS",186,0.654
"36","NPH",183,0.612
"37","RTR",181,0.663
"38","DST",173,0.652
"39","SHM",173,0.619
"40","DOM",170,0.651
"41","BOK",165,0.648
"42","INV",155,0.653
"43","ATQ",144,0.686
"44","STX",144,0.639
"45","CN2",141,0.661
"46","FRF",138,0.651
"47","VIS",126,0.631
"48","AKH",126,0.622
"49","APC",111,0.652
"50","ZNR",107,0.689
"51","ELD",107,0.668
"52","M12",103,0.655
"53","EVE",100,0.618
"54","HOU",98,0.65
"55","AVR",95,0.654
"56","LEG",92,0.638
"57","SCG",90,0.66
"58","FUT",85,0.659
"59","GPT",84,0.634
"60","RNA",78,0.646
"61","CHK",76,0.649
"62","EMN",72,0.639
"63","P02",68,0.654
"64","CSP",67,0.663
"65","PLS",64,0.681
"66","TMP",62,0.604
"67","5DN",59,0.665
"68","MOR",59,0.672
"69","MID",50,0.654
"70","GTC",48,0.657
"71","LGN",47,0.635
"72","ARN",47,0.647
"73","THB",44,0.596
"74","ORI",44,0.6
"75","M10",43,0.629
"76","CMR",42,0.636
"77","ODY",40,0.694
"78","THS",39,0.653
"79","M15",37,0.657
"80","PLC",35,0.608
"81","KLD",34,0.682
"82","JOU",34,0.6
"83","ARB",24,0.642
"84","WAR",22,0.692
"85","BFZ",16,0.681
"86","BNG",13,0.52
"87","M21",12,0.609
"88","HML",12,0.653
"89","JMP",10,0.667
"90","M19",8,0.714
"91","CNS",8,0.714
"92","M14",7,0.6
"93","STH",4,0.64
"94","OGW",4,0.538
"95","AER",2,0.75
