"","SetCode","NoCopies","Winrate"
"1","MH2",4133,0.719
"2","MH1",1880,0.725
"3","ZEN",1722,0.717
"4","LEA",1697,0.713
"5","ONS",1133,0.715
"6","NEO",827,0.718
"7","ELD",699,0.721
"8","RAV",583,0.717
"9","KLD",577,0.715
"10","WAR",572,0.723
"11","GPT",558,0.722
"12","WWK",540,0.708
"13","DIS",519,0.725
"14","FUT",467,0.725
"15","M20",414,0.72
"16","ARB",378,0.722
"17","ZNR",358,0.71
"18","TSP",354,0.71
"19","ICE",349,0.73
"20","STX",346,0.711
"21","LRW",342,0.706
"22","EMN",341,0.735
"23","SOM",332,0.698
"24","MRD",331,0.706
"25","AVR",329,0.731
"26","DKA",328,0.734
"27","MID",320,0.723
"28","ATQ",300,0.707
"29","5DN",291,0.711
"30","NPH",286,0.695
"31","THB",270,0.703
"32","CSP",262,0.701
"33","ALA",238,0.721
"34","M11",231,0.713
"35","IKO",230,0.716
"36","PLS",227,0.721
"37","M21",201,0.722
"38","PC2",200,0.737
"39","AKH",186,0.724
"40","CHK",163,0.702
"41","CMD",159,0.719
"42","ROE",157,0.668
"43","AFR",153,0.703
"44","AER",147,0.676
"45","SHM",146,0.703
"46","KTK",145,0.682
"47","HOU",144,0.727
"48","OGW",141,0.715
"49","MIR",137,0.747
"50","MBS",131,0.713
"51","RNA",130,0.714
"52","DRK",120,0.711
"53","PLC",119,0.722
"54","RTR",117,0.711
"55","APC",115,0.731
"56","DST",110,0.698
"57","GTC",108,0.689
"58","CON",97,0.718
"59","JOU",88,0.691
"60","SOK",84,0.703
"61","ISD",73,0.683
"62","INV",69,0.714
"63","DOM",66,0.686
"64","EVE",64,0.741
"65","VOW",64,0.725
"66","GRN",63,0.717
"67","STH",62,0.711
"68","DGM",56,0.725
"69","M19",56,0.686
"70","SOI",54,0.669
"71","BFZ",46,0.694
"72","ULG",39,0.742
"73","MOR",28,0.677
"74","M13",26,0.675
"75","XLN",26,0.735
"76","JUD",23,0.682
"77","WTH",23,0.674
"78","FRF",22,0.675
"79","DTK",20,0.679
"80","ARN",20,0.675
"81","TMP",18,0.682
"82","ORI",18,0.659
"83","M10",17,0.754
"84","M15",16,0.721
"85","C14",14,0.779
"86","M12",8,0.682
"87","TOR",8,0.636
"88","NEM",8,0.72
"89","THS",8,0.724
"90","LEG",4,0.655
"91","KHM",3,0.727
"92","BOK",2,0.714
"93","SCG",1,0.714
"94","CN2",1,0.571
