"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"11","PuntThenWhine",6,"Amulet Titan","6","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#puntthenwhine_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#puntthenwhine_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-03-01#puntthenwhine_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-15#puntthenwhine_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-03-22#puntthenwhine_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#puntthenwhine_th_place"
"12","katoriarch123",6,"Thopter Urza; Bant Control; WURG Control","1; 1; 4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#katoriarch_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-29#katoriarch_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#katoriarch_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-14#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#katoriarch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#katoriarch_th_place"
"13","SebastianStueckl",6,"Humans; Jund Midrange; Gruul Midrange; Dredge; Goblins","1; 1; 1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#sebastianstueckl_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-06-07#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-15#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-28#sebastianstueckl_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-26#sebastianstueckl_th_place"
"14","Lord_Beerus",6,"Burn","6","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-02-17#lord_beerus_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-players-tour-qualifier-2020-03-30#lord_beerus_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-15#lord_beerus_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-13#lord_beerus_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#lord_beerus_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#lord_beerus_th_place"
"15","Traft",6,"Humans; Goblins; Ad Nauseam; Rogues","1; 1; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-29#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-12#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-06-02#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-19#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#traft_th_place"
"16","Patxi",6,"Uroza; Rakdos Prowess; Dimir Control","1; 3; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-05#patxi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#patxi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#patxi_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-26#patxi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#patxi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#patxi_nd_place"
"17","coert",6,"Burn; Heliod Combo","3; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-12#coert_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#coert_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#coert_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-21#coert_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-28#coert_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#coert_th_place"
"18","Gerardo94",6,"Delver; Uroza; WURG Control","1; 1; 4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#gerardo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-03#gerardo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-16#gerardo_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-05#gerardo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-12-06#gerardo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#gerardo_rd_place"
"19","kanister",6,"Rakdos Prowess; Sultai Control; Humans; Omnath Saheeli; Dimir Control; Simic Titan","1; 1; 1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-14#kanister_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-12#kanister_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#kanister_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#kanister_nd_place"
"20","AstralPlane",6,"Boros Prowess; Burn; Izzet Prowess; Mono Red Prowess; Shadow Prowess","1; 1; 2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-31#astralplane_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-08#astralplane_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-07-27#astralplane_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-06#astralplane_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-05#astralplane_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#astralplane_th_place"
