"","Artist","NoCopies","Winrate"
"1","Rob Alexander",21120,0.712
"2","Christopher Rush",11769,0.713
"3","Steve Argyle",4947,0.706
"4","Tomasz Jedruszek",4823,0.715
"5","Anson Maddocks",4804,0.718
"6","Vincent Proce",4656,0.718
"7","Todd Lockwood",4432,0.71
"8","Terese Nielsen",4400,0.708
"9","Chippy",4382,0.715
"10","Eric Deschamps",4327,0.712
"11","Douglas Shuler",4325,0.706
"12","Aleksi Briclot",4256,0.714
"13","Adam Paquette",4190,0.712
"14","Shelly Wan",3896,0.714
"15","Daarken",3853,0.712
"16","Franz Vohwinkel",3813,0.71
"17","Kev Walker",3769,0.708
"18","Mark Poole",3668,0.708
"19","John Avon",3602,0.711
"20","Svetlin Velinov",3560,0.709
"21","Mark Zug",3556,0.708
"22","Raymond Swanland",3241,0.712
"23","Lake Hurwitz",3224,0.717
"24","Mark Tedin",3077,0.706
"25","Seb McKinnon",3013,0.71
"26","Jason Chan",2892,0.716
"27","Ron Spears",2883,0.714
"28","Chris Rahn",2850,0.716
"29","James Paick",2704,0.706
"30","Daniel Ljunggren",2702,0.713
"31","Cynthia Sheppard",2683,0.714
"32","Randy Vargas",2623,0.717
"33","Vance Kovacs",2623,0.709
"34","Dave Kendall",2564,0.706
"35","Cliff Childs",2392,0.712
"36","Jonas De Ro",2384,0.703
"37","Ryan Pancoast",2377,0.702
"38","Philip Straub",2370,0.719
"39","Anthony S. Waters",2345,0.702
"40","Dimitar Marinski",2344,0.712
"41","Darrell Riche",2333,0.709
"42","Wayne England",2328,0.717
"43","Matt Stewart",2320,0.704
"44","Sam Burley",2250,0.716
"45","Wisnu Tan",2243,0.711
"46","Paul Scott Canavan",2225,0.714
"47","Igor Kieryluk",2210,0.726
"48","Jason Rainville",2142,0.712
"49","Tom Wänerstrand",2140,0.705
"50","Chase Stone",2140,0.711
"51","Howard Lyon",2108,0.708
"52","Johann Bodin",2055,0.711
"53","Filip Burburan",1984,0.719
"54","Pat Morrissey",1969,0.718
"55","Christopher Moeller",1955,0.711
"56","Chris Rallis",1878,0.719
"57","Magali Villeneuve",1815,0.71
"58","Pete Venters",1780,0.708
"59","Warren Mahy",1732,0.709
"60","Jean-Sébastien Rossbach",1708,0.71
"61","Yeong-Hao Han",1697,0.705
"62","Jeff Miracola",1654,0.708
"63","Volkan Baǵa",1630,0.716
"64","Greg Hildebrandt",1602,0.707
"65","Michael Komarck",1594,0.704
"66","Ekaterina Burmak",1593,0.717
"67","Michael Sutfin",1587,0.704
"68","Heather Hudson",1562,0.702
