"","CardNames","DeckCount","Winrate95Min"
"1","Aether Spellbomb",89,72.3
"2","Galvanic Blast",62,71.9
"3","Arcum's Astrolabe",480,71.6
"4","Metallic Rebuke",117,71.4
"5","Urza, Lord High Artificer",150,71.3
"6","Uro, Titan of Nature's Wrath",747,71.3
"7","Emry, Lurker of the Loch",141,71.1
"8","Glittering Wish",30,71
"9","Mystic Sanctuary",796,71
"10","Snow-Covered Island",984,71
"11","Breeding Pool",1074,71
"12","Archmage's Charm",500,70.9
"13","Scalding Tarn",813,70.9
"14","Cryptic Command",799,70.9
"15","Snow-Covered Forest",1171,70.9
"16","Ice-Fang Coatl",384,70.8
"17","Steam Vents",680,70.7
"18","Mishra's Bauble",793,70.6
"19","Flooded Strand",748,70.6
"20","Engineered Explosives",276,70.5
"21","Teferi, Time Raveler",506,70.5
"22","Mana Leak",491,70.5
"23","Polluted Delta",664,70.5
"24","Misty Rainforest",1114,70.5
"25","Force of Negation",705,70.4
"26","Hallowed Fountain",574,70.3
"27","Supreme Verdict",260,70.2
"28","Field of Ruin",634,70.2
"29","Snow-Covered Plains",652,70.2
"30","Sakura-Tribe Scout",112,70.1
"31","Gilded Goose",134,70.1
"32","Teferi, Hero of Dominaria",299,70.1
"33","Seal of Fire",367,70.1
"34","Snapcaster Mage",437,70.1
"35","Blast Zone",501,70.1
"36","Cavern of Souls",734,70.1
"37","Forest",1268,70.1
"38","Winds of Abandon",11,70
"39","Snow-Covered Mountain",393,70
"40","Jace, the Mind Sculptor",462,70
"41","Field of the Dead",528,70
"42","Path to Exile",707,70
"43","Blood Crypt",766,70
"44","Pillar of the Paruns",46,69.9
"45","Growth Spiral",252,69.9
"46","Valakut, the Molten Pinnacle",334,69.9
"47","Snow-Covered Swamp",333,69.9
"48","Thoughtseize",665,69.9
"49","Dismember",548,69.9
"50","Temple Garden",720,69.9
