"","SetCode","NoCopies","Winrate"
"1","MH1",19879,0.713
"2","LEA",16919,0.707
"3","ZEN",13964,0.711
"4","ONS",13069,0.71
"5","WWK",8576,0.711
"6","ELD",8341,0.714
"7","ICE",7795,0.717
"8","RAV",7686,0.708
"9","FUT",7679,0.711
"10","M20",7563,0.715
"11","WAR",7548,0.716
"12","THB",7317,0.715
"13","DIS",7166,0.713
"14","NPH",6600,0.709
"15","CON",6515,0.709
"16","LRW",6415,0.712
"17","SOM",5925,0.713
"18","OGW",5623,0.71
"19","ROE",5461,0.709
"20","AER",5277,0.713
"21","ZNR",4787,0.702
"22","KLD",4665,0.71
"23","TSP",4574,0.708
"24","ATQ",4529,0.711
"25","5DN",4526,0.713
"26","GPT",4412,0.712
"27","KTK",4205,0.71
"28","CSP",3413,0.717
"29","MRD",3255,0.715
"30","XLN",3211,0.711
"31","SHM",3207,0.708
"32","RNA",3135,0.71
"33","M11",3033,0.709
"34","IKO",3026,0.709
"35","AKH",2818,0.705
"36","DST",2703,0.709
"37","EMN",2692,0.708
"38","RTR",2644,0.712
"39","ISD",2626,0.709
"40","DKA",2611,0.711
"41","CHK",2508,0.702
"42","AVR",2397,0.712
"43","DRK",2344,0.712
"44","ALA",2333,0.713
"45","SOI",2278,0.708
"46","GRN",2175,0.71
"47","HOU",2057,0.703
"48","STH",1937,0.714
"49","DOM",1914,0.714
"50","INV",1891,0.713
"51","GTC",1698,0.704
"52","MBS",1671,0.71
"53","M12",1577,0.708
"54","TMP",1388,0.707
"55","DTK",1369,0.712
"56","M21",1341,0.698
"57","ARB",1320,0.706
"58","PLS",1314,0.705
"59","JUD",1228,0.703
"60","PLC",1226,0.707
"61","FRF",1192,0.71
"62","SOK",1107,0.708
"63","THS",1057,0.712
"64","BFZ",946,0.711
"65","WTH",909,0.711
"66","CMD",889,0.702
"67","JOU",845,0.703
"68","ORI",823,0.71
"69","NEM",790,0.718
"70","ALL",788,0.705
"71","MOR",692,0.71
"72","M15",684,0.713
"73","M19",670,0.707
"74","ULG",623,0.717
"75","EVE",607,0.702
"76","DGM",532,0.697
"77","P02",461,0.717
"78","ARN",401,0.717
"79","M13",343,0.71
"80","BNG",327,0.709
"81","APC",308,0.7
"82","ODY",269,0.703
"83","LEG",207,0.699
"84","M10",164,0.711
"85","BOK",148,0.704
"86","M14",116,0.735
"87","RIX",114,0.685
"88","TOR",71,0.73
"89","SCG",65,0.669
"90","C14",60,0.682
"91","USG",59,0.698
"92","MIR",39,0.709
"93","POR",26,0.721
"94","FEM",8,0.571
"95","EXO",4,0.571
"96","S99",1,0.8
"97","C17",1,0.778
