"","SetCode","NoCopies","Winrate"
"1","ELD",1906,0.658
"2","LEA",1610,0.661
"3","ZNR",1298,0.66
"4","M20",981,0.659
"5","IKO",975,0.667
"6","KLD",773,0.639
"7","KHM",747,0.659
"8","AER",744,0.669
"9","THB",723,0.669
"10","WAR",692,0.656
"11","KTK",661,0.655
"12","ICE",657,0.706
"13","THS",626,0.66
"14","AKH",583,0.64
"15","M21",559,0.627
"16","DTK",512,0.665
"17","EMN",479,0.634
"18","STX",471,0.678
"19","M10",457,0.671
"20","GRN",447,0.671
"21","RTR",422,0.666
"22","RAV",417,0.659
"23","SOI",404,0.649
"24","GPT",394,0.666
"25","LRW",390,0.681
"26","M19",388,0.65
"27","DIS",380,0.636
"28","RNA",365,0.65
"29","DOM",352,0.631
"30","XLN",288,0.648
"31","INV",280,0.65
"32","MOR",278,0.68
"33","GTC",263,0.645
"34","M14",250,0.672
"35","FRF",249,0.65
"36","HOU",237,0.668
"37","JOU",226,0.648
"38","APC",201,0.656
"39","ALA",187,0.668
"40","BFZ",167,0.647
"41","OGW",167,0.645
"42","DGM",166,0.653
"43","PTK",157,0.683
"44","RIX",146,0.629
"45","AFR",136,0.664
"46","ISD",135,0.66
"47","TSP",120,0.688
"48","MRD",118,0.651
"49","USG",112,0.692
"50","M15",97,0.637
"51","BNG",89,0.634
"52","PLC",39,0.669
"53","ORI",38,0.615
"54","DST",31,0.631
"55","CMD",31,0.669
"56","ATQ",24,0.659
"57","STH",23,0.591
"58","ZEN",16,0.587
"59","TOR",14,0.605
"60","M13",12,0.597
"61","ROE",1,0.667
