"","SetCode","NoCopies","Winrate"
"1","LEA",1990,0.644
"2","MRD",1079,0.65
"3","ICE",929,0.661
"4","SOM",593,0.657
"5","MH2",471,0.64
"6","NEO",386,0.644
"7","MBS",346,0.642
"8","LRW",339,0.65
"9","MH1",311,0.638
"10","ZEN",280,0.645
"11","TSP",262,0.656
"12","M11",251,0.66
"13","AFR",237,0.645
"14","ROE",225,0.644
"15","KTK",215,0.657
"16","USG",215,0.66
"17","VOW",213,0.635
"18","MMQ",209,0.644
"19","XLN",206,0.643
"20","RAV",194,0.649
"21","KHM",180,0.66
"22","TOR",176,0.668
"23","ULG",176,0.623
"24","SOI",175,0.661
"25","IKO",173,0.672
"26","M13",170,0.669
"27","DIS",169,0.646
"28","C16",167,0.664
"29","INV",159,0.611
"30","RTR",152,0.651
"31","WWK",145,0.648
"32","JUD",136,0.625
"33","NPH",136,0.571
"34","DKA",134,0.664
"35","ONS",133,0.643
"36","BOK",128,0.669
"37","ALA",119,0.67
"38","ALL",116,0.653
"39","DST",114,0.665
"40","M12",105,0.613
"41","DOM",101,0.674
"42","AVR",98,0.611
"43","ATQ",96,0.642
"44","ISD",93,0.644
"45","FRF",92,0.664
"46","APC",91,0.602
"47","VIS",89,0.596
"48","STX",87,0.651
"49","CN2",85,0.687
"50","EVE",85,0.567
"51","AKH",81,0.585
"52","HOU",77,0.643
"53","SHM",76,0.592
"54","GPT",75,0.592
"55","ELD",66,0.638
"56","ZNR",59,0.633
"57","LEG",54,0.62
"58","PLS",52,0.663
"59","RNA",50,0.632
"60","FUT",50,0.669
"61","MOR",47,0.642
"62","CHK",41,0.618
"63","EMN",40,0.614
"64","5DN",39,0.671
"65","LGN",39,0.629
"66","CSP",38,0.641
"67","SCG",37,0.662
"68","P02",36,0.671
"69","GTC",32,0.674
"70","ORI",32,0.585
"71","M15",30,0.639
"72","CMR",30,0.588
"73","M10",27,0.575
"74","KLD",25,0.66
"75","THB",25,0.57
"76","BFZ",24,0.639
"77","TMP",23,0.631
"78","MID",21,0.614
"79","PLC",20,0.545
"80","ARN",18,0.636
"81","OGW",16,0.529
"82","ODY",15,0.672
"83","M14",13,0.564
"84","THS",12,0.571
"85","JOU",12,0.5
"86","ARB",8,0.667
"87","BNG",7,0.5
"88","JMP",7,0.444
"89","MIR",7,0.638
"90","WAR",5,0.688
"91","STH",4,0.64
"92","M21",4,0.667
"93","SOK",2,0.583
"94","AER",1,0.5
