"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Affinity - Dimir Faeries - Boros Monarch,Boros Bully / Flashback,Dimir Faeries - Affinity - Boros Monarch,Dimir Faeries - Affinity - Boros Monarch,Dimir Faeries - Affinity - Boros Monarch
"Tiers 1.5",Bogles - Azorius Familiars,Dimir Faeries - Azorius Familiars - Rakdos Goblins - Izzet Faeries - Boros Monarch - Affinity,Azorius Familiars - Boros Bully / Flashback - Rakdos Goblins,Azorius Familiars - Boros Bully / Flashback - Rakdos Goblins,Azorius Familiars - Boros Bully / Flashback - Rakdos Goblins
"Tiers 2",Rakdos Goblins - Burn - Boros Bully / Flashback - Tron - Mono   Blue,Black   Burn - Tron - Burn,Tron - Burn - Bogles - Izzet Faeries,Bogles - Burn - Tron,Bogles - Burn - Tron
"Tiers 2.5",Black   Burn - Izzet Faeries,Mono   Blue - Bogles,Black   Burn - Mono   Blue,Izzet Faeries - Black   Burn - Mono   Blue,Izzet Faeries - Black   Burn - Mono   Blue
