"","ARCHETYPES","METRIC_COMB"
"1","Heliod Combo",0.406
"2","Shadow Prowess",0.397
"3","WURG Control",0.396
"4","Obosh Aggro",0.389
"5","Reclaimer Titan",0.374
"6","Rakdos Midrange",0.347
"7","KGC Tron",0.347
"8","Hammer Time",0.346
"9","Sultai Control",0.337
"10","Mill",0.312
"11","Dredge",0.31
"12","Belcher",0.309
"13","Gifts Storm",0.301
"14","Oops All Spells",0.3
"15","Ad Nauseam",0.294
"16","Izzet Prowess",0.293
"17","Burn",0.29
"18","Scapeshift",0.286
"19","Temur Control",0.283
"20","Izzet Control",0.281
"21","KGC Amulet Titan",0.277
"22","Primeval Titan",0.256
"23","Amulet Titan",0.253
"24","Mono White Taxes",0.252
"25","Infect",0.247
"26","Jund Midrange",0.24
"27","E Tron",0.226
"28","Dimir Control",0.225
"29","Azorius Control",0.219
"30","Jeskai Control",0.218
"31","Izzet Living End",0.21
"32","Gruul Midrange",0.204
"33","Snoop Goblins",0.179
"34","UBRG Control",0.169
"35","Devoted",0.156
"36","Izzet Restore Balance",0.147
"37","Bant Spirits",0.147
"38","Hardened Scales",0.147
"39","Spirits",0.132
"40","Grixis Shadow",0.132
"41","Yawgmoth",0.127
"42","Humans",0.114
"43","Kiki Chord",0.114
"44","Rogues",0.109
"45","Bant Blink",0.109
"46","Orzhov Midrange",0.101
"47","U Tron",0.101
"48","Thopter Urza",0.101
"49","Azorius Taxes",0.085
"50","Bant Midrange",0.077
"51","Boros Taxes",0.069
"52","Boros Land Destruction",0.069
"53","Erayo Prison",0.069
"54","Mardu Midrange",0.03
"55","Merfolk",0.03
"56","Naya Midrange",0.03
"57","Polymorph",0.014
"58","Jeskai Breach",0.014
"59","Delver",0.014
"60","Elementals",0.014
