"","CardNames","Presence","WINRATE_95_MIN"
"1","Scapeshift",0.4,71.5
"2","Teferi, Mage of Zhalfir",0.4,71.5
"3","Dispel",4.7,67.8
"4","Mistcutter Hydra",1.1,67.2
"5","Entrancing Melody",1.1,67.2
"6","Torpor Orb",4.1,67
"7","Anger of the Gods",6.2,66.7
"8","Mystical Dispute",24.7,66.7
"9","Forest",40.8,66.7
"10","Scalding Tarn",20.9,66.6
"11","Blast Zone",21,66.6
"12","Engineered Explosives",24,66.6
"13","Lightning Bolt",43.7,66.6
"14","Flame Slash",10.2,66.5
"15","Remand",14.7,66.5
"16","Grafdigger's Cage",6.7,66.3
"17","Veil of Summer",32,66.3
"18","Cryptic Command",21,66.2
"19","Field of the Dead",22.9,66.2
"20","Aether Gust",27.3,66.2
"21","Mountain",38.4,66.2
"22","Polluted Delta",21.3,66
"23","Island",33.5,66
"24","Sunbaked Canyon",14.5,65.8
"25","Mystic Sanctuary",19.6,65.8
"26","Soul-Guide Lantern",21.1,65.8
"27","Misty Rainforest",25.9,65.8
"28","Valakut, the Molten Pinnacle",10.1,65.7
"29","Dismember",19.5,65.7
"30","Snow-Covered Island",19.4,65.7
"31","Nature's Claim",11.2,65.6
"32","Growth Spiral",12.7,65.6
"33","Monastery Swiftspear",17.8,65.5
"34","Karn, the Great Creator",5.9,65.4
"35","Liquimetal Coating",5.9,65.4
"36","Mana Leak",16.2,65.4
"37","Uro, Titan of Nature's Wrath",17.7,65.4
"38","Force of Negation",20.5,65.4
"39","Snow-Covered Forest",23.7,65.4
"40","Jace, the Mind Sculptor",10.6,65.3
"41","Ketria Triome",11.8,65.3
"42","Blood Moon",26.3,65.3
"43","Bomat Courier",11.9,65.2
"44","Walking Ballista",15,65.2
"45","Steam Vents",17.7,65.2
"46","Breeding Pool",19.4,65.2
"47","Wurmcoil Engine",6.1,65.1
"48","Spell Snare",7.6,65.1
"49","Fiery Islet",14.1,64.9
"50","Path to Exile",35.5,64.9
