"","CardNames","Presence","WINRATE_AVERAGE"
"1","Scapeshift",0.4,100
"2","Teferi, Mage of Zhalfir",0.4,100
"3","Boros Garrison",0.2,100
"4","Slayers' Stronghold",0.2,100
"5","Sunhome, Fortress of the Legion",0.2,100
"6","Mistcutter Hydra",1.1,84.4
"7","Entrancing Melody",1.1,84.4
"8","Damping Matrix",0.5,80
"9","Search for Tomorrow",0.5,80
"10","Fry",0.4,80
"11","Noxious Revival",0.4,80
"12","Peer Through Depths",0.4,80
"13","Hexdrinker",0.2,80
"14","Kitchen Finks",0.2,80
"15","Archangel of Thune",0.2,80
"16","Champion of the Parish",0.2,80
"17","Kitesail Freebooter",0.2,80
"18","Mantis Rider",0.2,80
"19","Militia Bugler",0.2,80
"20","Reflector Mage",0.2,80
"21","Thalia's Lieutenant",0.2,80
"22","Heartless Act",0.2,80
"23","Nightpack Ambusher",0.2,80
"24","Bottle Gnomes",0.3,77.8
"25","Caustic Caterpillar",0.3,77.8
"26","Devoted Druid",0.3,77.8
"27","Duskwatch Recruiter",0.3,77.8
"28","Finale of Devastation",0.3,77.8
"29","Postmortem Lunge",0.3,77.8
"30","Razorverge Thicket",0.3,77.8
"31","Vizier of Remedies",0.3,77.8
"32","Obstinate Baloth",1.5,77.3
"33","Eliminate",0.7,76.2
"34","Geier Reach Sanitarium",0.7,76.2
"35","Teferi's Puzzle Box",0.7,76.2
"36","Smash to Smithereens",0.9,76
"37","Dispel",4.7,75.9
"38","Torpor Orb",4.1,75.9
"39","Ravenous Trap",1.9,75.9
"40","Ugin, the Ineffable",2.4,75.4
"41","River of Tears",2.5,75
"42","Searing Blood",1,75
"43","Mass Hysteria",1,75
"44","Primal Command",0.8,75
"45","Tranquil Thicket",0.4,75
"46","Gideon, Ally of Zendikar",0.6,75
"47","Confounding Conundrum",0.3,75
"48","Flashfreeze",0.3,75
"49","Barren Moor",0.3,75
"50","Dreadhorde Arcanist",0.3,75
