"","ARCHETYPES","PRESENCE"
"1","WURG Control",31
"2","Shadow Prowess",29
"3","Heliod Combo",22
"4","Izzet Prowess",13
"5","Sultai Control",12
"6","Reclaimer Titan",12
"7","Rakdos Midrange",12
"8","KGC Tron",11
"9","Hammer Time",10
"10","Burn",10
"11","Ad Nauseam",9
"12","KGC Amulet Titan",8
"13","Oops All Spells",8
"14","Mardu Midrange",8
"15","Humans",8
"16","Belcher",7
"17","Obosh Aggro",7
"18","Dredge",6
"19","E Tron",6
"20","Infect",6
"21","Mono White Taxes",5
"22","Snoop Goblins",4
"23","Gifts Storm",4
"24","Spirits",4
"25","Izzet Control",3
"26","Thopter Urza",3
"27","Mill",3
"28","Jeskai Control",3
"29","Amulet Titan",3
"30","Dimir Control",3
"31","Rakdos Prowess",3
"32","Izzet Restore Balance",2
"33","Bant Midrange",2
"34","Omnath Saheeli",2
"35","Red Prison",2
"36","Primeval Titan",2
"37","Titan Shift",2
"38","Bant Blink",2
"39","Grixis Shadow",2
"40","Azorius Control",2
"41","Hardened Scales",2
"42","Jeskai Breach",2
"43","Temur Control",1
"44","Elementals",1
"45","Niv To Light",1
"46","Bant Control",1
"47","Orzhov Midrange",1
"48","WBRG Shadow",1
"49","Scapeshift",1
"50","UBRG Shadow",1
"51","Devoted",1
"52","Naya Midrange",1
"53","Rogues",1
"54","Slivers",1
"55","Izzet Living End",1
"56","Bogles",1
"57","Uroza",1
"58","Mono Red Prowess",1
"59","Bant Spirits",1
