"","ARCHETYPES","PRESENCE"
"1","Heliod Combo",249
"2","Shadow Prowess",213
"3","WURG Control",208
"4","Obosh Aggro",165
"5","Reclaimer Titan",163
"6","Rakdos Midrange",141
"7","Hammer Time",133
"8","KGC Tron",96
"9","Sultai Control",94
"10","Dredge",90
"11","Mill",85
"12","Oops All Spells",83
"13","Izzet Prowess",69
"14","Gifts Storm",65
"15","Belcher",63
"16","Izzet Control",58
"17","Burn",58
"18","Ad Nauseam",57
"19","Temur Control",50
"20","Amulet Titan",48
"21","Mono White Taxes",46
"22","Infect",39
"23","Jund Midrange",36
"24","Azorius Control",35
"25","E Tron",34
"26","Primeval Titan",34
"27","KGC Amulet Titan",30
"28","Jeskai Control",29
"29","Izzet Living End",28
"30","UBRG Control",24
"31","Snoop Goblins",23
"32","Dimir Control",21
"33","Gruul Midrange",19
"34","Spirits",16
"35","Kiki Chord",15
"36","Izzet Restore Balance",13
"37","Rogues",13
"38","Bant Blink",13
"39","Bant Spirits",13
"40","Hardened Scales",13
"41","Yawgmoth",12
"42","Azorius Taxes",12
"43","Scapeshift",11
"44","Bant Midrange",10
"45","Orzhov Midrange",9
"46","Devoted",9
"47","U Tron",9
"48","Thopter Urza",9
"49","Boros Taxes",8
"50","Boros Land Destruction",8
"51","Erayo Prison",8
"52","Grixis Shadow",8
"53","Mardu Midrange",7
"54","Merfolk",7
"55","Naya Midrange",7
"56","Polymorph",5
"57","Jeskai Breach",5
"58","Humans",5
"59","Delver",5
"60","Elementals",5
