"","CardNames","DeckCount","Winrate95Min"
"1","Master Skald",7,78.7
"2","Mountain",37,78.6
"3","Forest",38,77.5
"4","Swamp",31,76.8
"5","Hagra Constrictor",5,76.7
"6","Fractal Summoning",17,76.7
"7","Island",33,76.6
"8","Plains",40,76.5
"9","Open the Omenpaths",11,76.4
"10","Dragon's Approach",11,76
"11","Elemental Summoning",15,75.9
"12","Pest Summoning",12,75.8
"13","Funeral Longboat",7,75.6
"14","Shackles of Treachery",16,75.6
"15","Spell Satchel",5,75.5
"16","Annul",11,75.5
"17","Draugr Recruiter",10,75.4
"18","Raise the Draugr",7,75.3
"19","Run Ashore",8,75.3
"20","Charge Through",10,75.3
"21","Return to Nature",3,75.2
"22","Giant Ox",12,75.2
"23","Broken Wings",15,75.2
"24","Oggyar Battle-Seer",9,75.1
"25","Cinderheart Giant",11,75.1
"26","Negate",8,74.8
"27","Novice Dissector",11,74.8
"28","Duskwielder",12,74.8
"29","Floodhound",13,74.8
"30","Essence Infusion",7,74.6
"31","Disenchant",9,74.6
"32","Shattered Ego",12,74.5
"33","Reject",11,74.4
"34","Frostpyre Arcanist",4,74.3
"35","Jack-o'-Lantern",4,74.3
"36","Sea Gate Colossus",6,74.3
"37","Devious Cover-Up",6,74.3
"38","Funnel-Web Recluse",10,74.1
"39","First Day of Class",12,74.1
"40","Revitalize",19,74.1
"41","Skull Raid",10,74
"42","Battlefield Raptor",3,73.9
"43","Depart the Realm",3,73.9
"44","Squirrel Sanctuary",3,73.9
"45","Strength of Solidarity",6,73.9
"46","Goblin Anarchomancer",12,73.9
"47","Vault Robber",15,73.9
"48","Invoke the Divine",12,73.8
"49","Withercrown",4,73.7
"50","Introduction to Prophecy",16,73.7
