"","CardNames","DeckCount","WinrateAverage"
"1","The Tabernacle at Pendrell Vale",1371,64.3
"2","Mindbreak Trap",1200,64.2
"3","Leyline of the Void",1143,64.9
"4","Grafdigger's Cage",1014,64.1
"5","Pithing Needle",904,63.8
"6","Flusterstorm",874,64.6
"7","Force of Vigor",778,64.2
"8","Ravenous Trap",763,64.8
"9","Surgical Extraction",682,64.4
"10","Soul-Guide Lantern",666,64.6
"11","Fatal Push",595,64.8
"12","Hurkyl's Recall",545,64.3
"13","Pyroblast",534,63.5
"14","Shattering Spree",503,65
"15","Energy Flux",493,63.8
"16","Swords to Plowshares",470,65.3
"17","Wurmcoil Engine",430,64.6
"18","Null Rod",414,63
"19","Opposition Agent",355,65.7
"20","Tormod's Crypt",340,63.4
"21","Archive Trap",339,63.6
"22","Ensnaring Bridge",314,62.8
"23","Mycosynth Lattice",314,62.6
"24","Steel Sabotage",313,66
"25","Yixlid Jailer",310,64.5
"26","Collector Ouphe",298,66
"27","Mountain",263,65
"28","Lightning Bolt",253,65
"29","Island",248,64.8
"30","Blightsteel Colossus",234,63.6
"31","Containment Priest",232,64
"32","Relic of Progenitus",213,62.2
"33","Dismember",198,62.5
"34","Nature's Claim",190,63.8
"35","Veil of Summer",185,63.7
"36","Endurance",184,62.1
"37","Assassin's Trophy",180,64.1
"38","Sphinx of the Steel Wind",176,64.5
"39","Stonecoil Serpent",160,62.9
"40","Force of Negation",158,64
"41","Wasteland",143,64.2
"42","Duress",143,66.4
"43","Bojuka Bog",131,62.8
"44","Alpine Moon",131,60.8
"45","Abrupt Decay",118,65
"46","By Force",116,60.7
"47","Library of Alexandria",116,66.9
"48","Lurrus of the Dream-Den",114,64.6
"49","Wear // Tear",110,67.1
"50","Prismatic Ending",110,63.2
