"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Murktide - Hammer Time - Grixis Shadow - Amulet Titan - WURG Blink,Mill - Jund Saga,Izzet Murktide - Grixis Shadow - Hammer Time - Jund Saga,Izzet Murktide - Hammer Time - Grixis Shadow,Izzet Murktide - Hammer Time - Grixis Shadow
"Tiers 1.5",WURG Control - Azorius Control - Jund Saga - Belcher - Yawgmoth - Blue Living End,Belcher - Dredge - Jeskai Control - Azorius Control - Creativity Combo - Grixis Shadow - Izzet Murktide - Hammer Time - WURG Control - Rakdos Midrange - WURG Blink - Thopter Urza,Azorius Control - Belcher - Mill - WURG Control - WURG Blink - Amulet Titan - Dredge - Jeskai Control - Yawgmoth - Blue Living End,Azorius Control - WURG Blink - WURG Control - Amulet Titan - Jund Saga - Belcher - Mill - Dredge - Yawgmoth,Azorius Control - WURG Blink - WURG Control - Amulet Titan - Jund Saga - Belcher - Mill - Dredge - Yawgmoth
"Tiers 2",Dredge - Burn - Jeskai Control - Rakdos Midrange - Gruul Midrange - Mill - Creativity Combo - Mono Red Prowess,Burn - Blue Living End - Yawgmoth - Temur Footfalls - Amulet Titan - Jeskai Murktide - BTL Scapeshift - Humans,Burn - Rakdos Midrange - Creativity Combo - Thopter Urza,Blue Living End - Jeskai Control - Burn - Rakdos Midrange - Creativity Combo - Thopter Urza,Blue Living End - Jeskai Control - Burn - Rakdos Midrange - Creativity Combo - Thopter Urza
"Tiers 2.5",Jeskai Murktide - Thopter Urza - BTL Scapeshift - Humans - Temur Footfalls,Gruul Midrange - Mono Red Prowess,Temur Footfalls - Jeskai Murktide - BTL Scapeshift - Humans - Gruul Midrange - Mono Red Prowess,Temur Footfalls - Jeskai Murktide - Gruul Midrange - BTL Scapeshift - Humans - Mono Red Prowess,Temur Footfalls - Jeskai Murktide - Gruul Midrange - BTL Scapeshift - Humans - Mono Red Prowess
