"","SetCode","NoCopies","Winrate"
"1","LEA",3248,0.729
"2","NEO",2449,0.731
"3","MID",2290,0.734
"4","ELD",2170,0.731
"5","KHM",2002,0.727
"6","AFR",1735,0.736
"7","ZNR",1672,0.726
"8","WAR",1413,0.735
"9","SNC",1288,0.732
"10","BRO",1231,0.738
"11","M20",1170,0.73
"12","VOW",911,0.728
"13","IKO",898,0.727
"14","KLD",853,0.737
"15","THB",848,0.73
"16","RTR",811,0.723
"17","THS",781,0.729
"18","AKH",750,0.731
"19","DTK",749,0.734
"20","AER",748,0.734
"21","DMU",735,0.726
"22","DIS",716,0.727
"23","ICE",644,0.73
"24","RAV",635,0.73
"25","SOI",589,0.729
"26","GPT",589,0.726
"27","LRW",528,0.745
"28","DOM",486,0.73
"29","M14",471,0.73
"30","XLN",460,0.726
"31","M19",445,0.743
"32","SOK",425,0.737
"33","MOR",412,0.724
"34","KTK",373,0.734
"35","STX",367,0.739
"36","OGW",365,0.735
"37","M10",361,0.721
"38","ORI",354,0.739
"39","HOU",344,0.742
"40","GRN",328,0.756
"41","GTC",255,0.723
"42","VIS",248,0.732
"43","EMN",241,0.71
"44","DGM",230,0.735
"45","M21",226,0.726
"46","INV",202,0.73
"47","MRD",202,0.731
"48","USG",196,0.75
"49","RIX",189,0.738
"50","ZEN",181,0.724
"51","DKA",121,0.701
"52","BNG",106,0.737
"53","RNA",102,0.731
"54","PLC",100,0.747
"55","JOU",94,0.733
"56","APC",92,0.717
"57","ISD",73,0.709
"58","M15",73,0.744
"59","TSP",65,0.769
"60","BFZ",52,0.676
"61","FRF",50,0.762
"62","CMD",50,0.692
"63","M13",47,0.734
"64","MBS",11,0.744
"65","M12",8,0.75
"66","TOR",5,0.75
"67","ONS",5,0.714
"68","FUT",4,0.75
"69","SCG",3,0.714
"70","PLS",3,0.571
"71","PTK",2,0.75
"72","ALA",1,0.778
"73","STH",1,0.75
