"","SetCode","NoCopies","Winrate"
"1","MH2",5567,0.739
"2","MH1",2682,0.741
"3","ZEN",2538,0.741
"4","LEA",2283,0.738
"5","ONS",1646,0.737
"6","NEO",1178,0.738
"7","ELD",1091,0.744
"8","GPT",820,0.739
"9","WAR",804,0.732
"10","KLD",777,0.744
"11","RAV",745,0.733
"12","STX",723,0.742
"13","WWK",722,0.736
"14","ICE",650,0.741
"15","DIS",642,0.739
"16","M20",588,0.74
"17","FUT",561,0.741
"18","ZNR",534,0.745
"19","MID",529,0.751
"20","LRW",490,0.733
"21","TSP",475,0.735
"22","ARB",474,0.746
"23","5DN",459,0.738
"24","CSP",454,0.742
"25","SOM",425,0.721
"26","AVR",408,0.738
"27","ALA",378,0.739
"28","IKO",367,0.74
"29","NPH",348,0.723
"30","THB",342,0.725
"31","ATQ",318,0.724
"32","MRD",308,0.723
"33","PC2",304,0.748
"34","M11",298,0.738
"35","DRK",284,0.741
"36","EMN",277,0.735
"37","M21",237,0.743
"38","ROE",236,0.729
"39","PLS",229,0.72
"40","PLC",225,0.748
"41","AER",225,0.726
"42","APC",221,0.736
"43","DKA",213,0.748
"44","AFR",197,0.728
"45","RTR",182,0.742
"46","AKH",168,0.749
"47","SHM",168,0.731
"48","CHK",157,0.725
"49","ISD",155,0.756
"50","CON",153,0.73
"51","HOU",148,0.754
"52","KTK",145,0.725
"53","SOI",144,0.716
"54","DST",143,0.726
"55","DOM",138,0.744
"56","RNA",138,0.718
"57","MBS",136,0.728
"58","CMD",133,0.746
"59","JOU",130,0.733
"60","GTC",121,0.729
"61","OGW",104,0.733
"62","M19",104,0.724
"63","SOK",103,0.721
"64","INV",91,0.743
"65","GRN",79,0.743
"66","XLN",79,0.732
"67","VOW",77,0.741
"68","MIR",71,0.746
"69","DTK",69,0.7
"70","STH",65,0.726
"71","BFZ",64,0.714
"72","DGM",58,0.713
"73","ARN",56,0.726
"74","WTH",56,0.726
"75","EVE",55,0.726
"76","MOR",33,0.727
"77","ULG",32,0.766
"78","FRF",31,0.706
"79","P02",28,0.721
"80","M13",25,0.67
"81","JUD",23,0.72
"82","M15",22,0.735
"83","TMP",20,0.714
"84","M12",18,0.722
"85","TOR",18,0.667
"86","ORI",17,0.667
"87","RIX",16,0.793
"88","PTK",15,0.758
"89","KHM",14,0.678
"90","C14",10,0.707
"91","M10",9,0.735
"92","THS",9,0.681
"93","LEG",6,0.735
"94","ALL",4,0.714
"95","BNG",4,0.692
"96","VIS",1,0.571
