"","SetName","Winrate","Presence"
"1","NPH",NA,0
"2","DRK",NA,0
"3","IKO",NA,0
"4","LRW",NA,0
"5","5DN",NA,0
"6","SOK",NA,0
"7","CON",NA,0
"8","OGW",NA,0
"9","MBS",NA,0
"10","ALA",NA,0
"11","M20",NA,0
"12","ZEN",NA,0
"13","ELD",NA,0
"14","THB",NA,0
"15","AER",NA,0
"16","SOM",NA,0
"17","M15",NA,0
"18","DIS",NA,0
"19","WAR",NA,0
"20","ROE",NA,0
"21","DOM",NA,0
"22","HOU",NA,0
"23","BFZ",NA,0
"24","STH",NA,0
"25","THS",NA,0
"26","JOU",NA,0
"27","ZNR",NA,0
"28","ALL",NA,0
"29","RTR",NA,0
"30","STX",NA,0
"31","XLN",NA,0
"32","WWK",NA,0
"33","AVR",NA,0
"34","KLD",NA,0
"35","DKA",NA,0
"36","M11",NA,0
"37","SOI",NA,0
"38","EMN",NA,0
"39","WTH",NA,0
"40","DST",NA,0
"41","M19",NA,0
"42","GPT",NA,0
"43","PLC",NA,0
"44","MH1",NA,0
"45","FUT",NA,0
"46","GRN",NA,0
"47","M21",NA,0
"48","TSP",NA,0
"49","M12",NA,0
"50","MOR",NA,0
"51","DGM",NA,0
"52","CMD",NA,0
"53","GTC",NA,0
"54","RAV",NA,0
"55","SHM",NA,0
"56","RNA",NA,0
"57","DTK",NA,0
"58","TMP",NA,0
"59","KHM",NA,0
"60","ISD",NA,0
"61","ULG",NA,0
"62","LEA",NA,0
"63","KTK",NA,0
"64","BNG",NA,0
"65","M13",NA,0
"66","MRD",NA,0
"67","ARB",NA,0
"68","POR",NA,0
"69","FRF",NA,0
"70","ORI",NA,0
"71","NEM",NA,0
"72","BOK",NA,0
"73","M14",NA,0
"74","PLS",NA,0
"75","ICE",NA,0
"76","ATQ",NA,0
"77","CHK",NA,0
