"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Unknown - Doomsday,,Unknown - Doomsday,Unknown - Doomsday,Unknown - Doomsday
"Tiers 1.5",Madness - UW   Control - Jeskai Tempo - Temur Tempo,Slow   Depths - Karn   Post - Doomsday - Izzet Tempo - Madness - Unknown - Oops !  All   Spells - UW   Control,Madness - UW   Control - Izzet Tempo - Jeskai Tempo - Temur Tempo - Karn   Post - Oops !  All   Spells,Madness - UW   Control - Jeskai Tempo - Temur Tempo - Izzet Tempo,Madness - UW   Control - Jeskai Tempo - Temur Tempo - Izzet Tempo
"Tiers 2",Izzet Tempo - Oops !  All   Spells - UBRG Tempo - Karn   Post - TES - Slow   Depths,TES - Temur Tempo - Jeskai Tempo - UBRG Tempo,Slow   Depths - UBRG Tempo - TES,Karn   Post - Oops !  All   Spells - Slow   Depths - UBRG Tempo - TES,Karn   Post - Oops !  All   Spells - Slow   Depths - UBRG Tempo - TES
"Tiers 2.5",Grixis Tempo - Mono Blue Painter,Mono Blue Painter - Grixis Tempo,Mono Blue Painter - Grixis Tempo,Mono Blue Painter - Grixis Tempo,Mono Blue Painter - Grixis Tempo
