"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Unknown - Doomsday,Doomsday,Unknown - Doomsday,Unknown - Doomsday,Unknown - Doomsday
"Tiers 1.5",Madness - UW   Control - Jeskai Tempo,Izzet Tempo - Madness - Unknown - Karn   Post - TES - Temur Tempo,Madness - UW   Control - Jeskai Tempo - Izzet Tempo - Temur Tempo,Madness - UW   Control - Jeskai Tempo,Madness - UW   Control - Jeskai Tempo
"Tiers 2",Temur Tempo - Izzet Tempo - Oops !  All   Spells - UBRG Tempo - Karn   Post - TES,Oops !  All   Spells - UW   Control - Jeskai Tempo - UBRG Tempo,Oops !  All   Spells - Karn   Post - UBRG Tempo - TES,Temur Tempo - Izzet Tempo - Oops !  All   Spells - Karn   Post - UBRG Tempo - TES,Temur Tempo - Izzet Tempo - Oops !  All   Spells - Karn   Post - UBRG Tempo - TES
"Tiers 2.5",Grixis Tempo,Grixis Tempo,Grixis Tempo,Grixis Tempo,Grixis Tempo
