"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"1","Scapeshift",2,2,20,0.9,0.683017285980918,0.987651472829705,10,1.0125
"2","Oops All Spells",11,8,93,0.688172043010753,0.583736085225851,0.780237665998382,11.625,1.00100529503126
"3","Reclaimer Titan",11,8,93,0.720430107526882,0.617774250000123,0.808565082852977,11.625,0.981636384982278
"4","Hammer Time",23,16,192,0.723958333333333,0.654975509978246,0.785883234643444,12,1.02424117731088
"5","Rakdos Midrange",10,9,77,0.649350649350649,0.532153224188651,0.754677503493819,8.55555555555556,0.989720335098974
"6","Electro End",2,2,17,0.764705882352941,0.50100672679542,0.931892259562643,8.5,1.00106951871658
"7","Eldrazi Tron",3,2,23,0.652173913043478,0.427343963036494,0.83623640162505,11.5,0.99604743083004
"8","Obosh Aggro",8,8,68,0.720588235294118,0.59854133888628,0.822656941627464,8.5,1.01215533158028
"9","Burn",13,11,106,0.69811320754717,0.601318581673714,0.78349982676724,9.63636363636364,1.03865971239264
"10","Sultai Control",15,13,126,0.706349206349206,0.618639858942608,0.784087236295635,9.69230769230769,0.997498764716907
"11","Belcher",9,7,70,0.7,0.578666071957495,0.803773036700536,10,0.978211001274412
"12","Jund Midrange",3,3,26,0.730769230769231,0.522125210306169,0.884267786708496,8.66666666666667,1.00370713623726
"13","Izzet Prowess",14,12,119,0.73109243697479,0.642089726179609,0.808240715384577,9.91666666666667,1.00429686348927
"14","Hardened Scales",2,1,16,0.6875,0.413379363548641,0.889830045282883,16,1
"15","Heliod Combo",17,13,139,0.705035971223022,0.621805566757922,0.779300965504527,10.6923076923077,1.02156470726818
"16","Green Tron",5,5,41,0.682926829268293,0.519133613161076,0.819150603091716,8.2,1.00700737844125
"17","Boros Taxes",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1.02678571428571
"18","Shadow Prowess",23,22,190,0.694736842105263,0.623942559036118,0.759337317834421,8.63636363636364,1.00930489349169
"19","Dredge",9,7,77,0.714285714285714,0.599964627529238,0.811510561264649,11,1.04912572855953
"20","Land Destruction",2,1,16,0.6875,0.413379363548641,0.889830045282883,16,1
"21","Erayo Prison",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"22","Jeskai Control",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,1
"23","Primeval Titan",2,2,17,0.823529411764706,0.565682127155716,0.962014931929374,8.5,1.02030192608017
"24","Izzet Control",3,3,27,0.703703703703704,0.498186333629999,0.862473446059421,9,0.974358974358974
"25","Spirits",5,5,46,0.760869565217391,0.612331089885928,0.874138605177431,9.2,1.0150234848571
"26","Kiki Chord",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"27","WURG Control",19,15,169,0.745562130177515,0.672965811588014,0.809335360704197,11.2666666666667,1.01429957205156
"28","UBRG Control",3,2,24,0.666666666666667,0.446780384340352,0.843697714290865,12,0.96969696969697
"29","Yawgmoth",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"30","Amulet Titan",8,7,66,0.681818181818182,0.555607829230528,0.791101632758558,9.42857142857143,1.01326511855891
"31","Azorius Taxes",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"32","Gifts Storm",4,4,33,0.727272727272727,0.544761572239218,0.867003611289185,8.25,1.01592420882887
"33","Gruul Midrange",1,1,10,0.8,0.443904537692359,0.974789273673167,10,1
"34","Ad Nauseam",9,7,76,0.723684210526316,0.609142949216601,0.820127572442849,10.8571428571429,0.996343143032415
"35","Simic Control",1,1,9,0.777777777777778,0.399906426283688,0.971855026522102,9,1
"36","Blue Tron",1,1,9,0.777777777777778,0.399906426283688,0.971855026522102,9,1.07692307692308
"37","Temur Control",3,3,24,0.708333333333333,0.489052186142167,0.873847911476309,8,1.03408756979136
"38","Jund Shadow",1,1,9,0.777777777777778,0.399906426283688,0.971855026522102,9,1
"39","Mono White Taxes",6,4,48,0.708333333333333,0.559365220086309,0.830469201371971,12,1.03007683863886
"40","Naya Midrange",1,1,9,0.777777777777778,0.399906426283688,0.971855026522102,9,1.01709401709402
"41","Azorius Control",2,1,18,0.666666666666667,0.409925238172074,0.866572597493876,18,1
"42","Dimir Control",1,1,11,0.818181818181818,0.482244147639827,0.97716880170004,11,1
"43","Infect",4,3,35,0.742857142857143,0.567441150305962,0.875106028083238,11.6666666666667,0.985466556564823
"44","Thopter Urza",2,2,16,0.625,0.354346094302078,0.848016324918878,8,1.00961538461538
"45","Grixis Shadow",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"46","Mill",4,4,34,0.735294117647059,0.556384631694893,0.871182608416492,8.5,1.00553041729512
"47","Rogues",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"48","Omnath Saheeli",2,2,14,0.642857142857143,0.351380110615992,0.872401570140841,7,1
"49","Enduring Ideal",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"50","Bant Control",4,2,33,0.727272727272727,0.544761572239218,0.867003611289185,16.5,0.984615384615385
"51","Grinding Breach",1,1,8,0.75,0.349144205587176,0.968145973750056,8,0.980769230769231
"52","Grishoalbrand",1,1,8,0.625,0.244863216366552,0.914766585862746,8,0.958333333333333
"53","Bant Midrange",2,2,14,0.642857142857143,0.351380110615992,0.872401570140841,7,1
"54","Devoted",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"55","Humans",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"56","Taking Turns",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"57","Esper Shadow",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"58","Rakdos Prowess",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"59","Kinnan Legends",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
