"","PLAYERS","NB_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","nazart",5,40,0.725,0.561117092820952,0.853991008036134,87,"Heliod Combo","5","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#nazart_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#nazart_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#nazart_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#nazart_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#nazart_th_place"
"2","CrusherBotBG",4,34,0.794117647058823,0.621022251460317,0.912978694541873,81,"Hammer Time","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#crusherbotbg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#crusherbotbg_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#crusherbotbg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#crusherbotbg_st_place"
"3","TSPJendrek",4,33,0.727272727272727,0.544761572239218,0.867003611289185,72,"Sultai Control; Bant Control","1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#tspjendrek_th_place"
"4","Ryan100495",3,28,0.785714285714286,0.590468973494172,0.917039387612361,66,"Dredge","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#ryan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#ryan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-01-17#ryan_st_place"
"5","Lord_Beerus",3,27,0.777777777777778,0.577416939955621,0.913783060052433,63,"Burn","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#lord_beerus_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#lord_beerus_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#lord_beerus_th_place"
"6","MaxCapone",3,26,0.692307692307692,0.482103563554258,0.856740002072296,54,"Oops All Spells","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#maxcapone_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#maxcapone_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#maxcapone_th_place"
"7","Laplasjan",3,26,0.692307692307692,0.482103563554258,0.856740002072296,54,"Hammer Time","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#laplasjan_rd_place"
"8","penips",3,23,0.739130434782609,0.515948029597562,0.897713866084642,51,"Mono White Taxes","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-27#penips_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#penips_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#penips_th_place"
"9","ichi-roku",3,25,0.68,0.464999282502628,0.85050457738643,51,"Ad Nauseam","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#ichi-roku_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-04#ichi-roku_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#ichi-roku_th_place"
"10","patheus_84",3,23,0.695652173913043,0.470808333991493,0.8678971203019,48,"Belcher; Ad Nauseam","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#patheus__th_place"
