"","SetCode","NoCopies","Winrate"
"1","ELD",20496,0.681
"2","LEA",19202,0.678
"3","ZNR",13642,0.678
"4","IKO",12075,0.679
"5","WAR",10103,0.679
"6","M20",9689,0.677
"7","THB",9312,0.683
"8","THS",7785,0.677
"9","KHM",7757,0.685
"10","AER",7267,0.681
"11","KTK",6477,0.677
"12","KLD",6312,0.681
"13","AKH",5891,0.672
"14","RAV",5804,0.681
"15","RTR",5221,0.679
"16","M21",5018,0.67
"17","M10",4909,0.677
"18","GRN",4743,0.681
"19","GPT",4388,0.683
"20","LRW",4311,0.688
"21","RNA",4286,0.679
"22","DIS",4098,0.677
"23","DOM",4047,0.672
"24","SOI",4028,0.68
"25","STX",4015,0.671
"26","DTK",3491,0.679
"27","EMN",3243,0.681
"28","M19",3148,0.677
"29","GTC",3085,0.672
"30","AFR",3018,0.66
"31","BFZ",2810,0.683
"32","ICE",2561,0.703
"33","M14",2554,0.679
"34","APC",2446,0.68
"35","MOR",2428,0.681
"36","INV",2303,0.671
"37","XLN",2264,0.672
"38","JOU",2111,0.68
"39","FRF",2108,0.671
"40","OGW",1907,0.67
"41","HOU",1887,0.678
"42","DGM",1842,0.675
"43","MID",1803,0.643
"44","ISD",1770,0.682
"45","RIX",1505,0.668
"46","ALA",1369,0.679
"47","BNG",1298,0.666
"48","USG",1068,0.683
"49","PTK",993,0.686
"50","M15",986,0.679
"51","DKA",891,0.673
"52","TSP",811,0.69
"53","MRD",790,0.678
"54","ORI",636,0.671
"55","CMD",621,0.66
"56","ZEN",444,0.667
"57","PLC",442,0.682
"58","DST",438,0.677
"59","M11",431,0.674
"60","ATQ",352,0.669
"61","STH",218,0.679
"62","ROE",171,0.665
"63","DRK",137,0.666
"64","M13",75,0.66
"65","FUT",69,0.682
"66","TOR",42,0.688
"67","WWK",34,0.724
"68","SOM",34,0.699
"69","NPH",34,0.726
"70","M12",20,0.651
"71","SHM",18,0.561
"72","ONS",16,0.75
"73","SCG",13,0.681
"74","ODY",7,0.679
"75","MMQ",5,0.652
"76","S99",3,0.714
