"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"11","DemonicTutors",7,"Yawgmoth","7","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1212337928#deck_DemonicTutors; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1912340211#deck_DemonicTutors; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-1012345858#deck_DemonicTutors; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2312349443#deck_DemonicTutors; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-3012351480#deck_DemonicTutors; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1912365701#deck_DemonicTutors; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1912365707#deck_DemonicTutors"
"12","remf",6,"Spirits; Gruul Midrange","5; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247565#deck_remf; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-0712258809#deck_remf; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2812266370#deck_remf; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2012274938#deck_remf; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2812277646#deck_remf; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-0112289705#deck_remf"
"13","Sanitoeter",6,"Jund Midrange; Jund Saga","4; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2812266370#deck_Sanitoeter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-0412280395#deck_Sanitoeter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1112282972#deck_Sanitoeter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-0112289705#deck_Sanitoeter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2812359645#deck_Sanitoeter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-0512361891#deck_Sanitoeter"
"14","bobthedog",6,"Omnath Scapeshift; Jeskai Control; Izzet Murktide; Blue Living End; Omnath Control","1; 2; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-2412287814#deck_bobthedog; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1812318584#deck_bobthedog; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2212331041#deck_bobthedog; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-0512335539#deck_bobthedog; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1812340205#deck_bobthedog; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-0712353489#deck_bobthedog"
"15","tibalt_of_red_sub",6,"Mill","6","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1812318584#deck_tibalt_of_red_sub; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2912333356#deck_tibalt_of_red_sub; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-2612342309#deck_tibalt_of_red_sub; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-1612347367#deck_tibalt_of_red_sub; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-0712353489#deck_tibalt_of_red_sub; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-0512361897#deck_tibalt_of_red_sub"
"16","TSPJendrek",5,"Stoneblade; Esper Control; Grixis Control","2; 2; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-0312242677#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247559#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-1412271860#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-0312280389#deck_TSPJendrek; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1212363655#deck_TSPJendrek"
"17","MaxMagicer",5,"5 Color Humans; Elves; Temur Footfalls","1; 1; 3","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247565#deck_MaxMagicer; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1712285846#deck_MaxMagicer; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-1512328706#deck_MaxMagicer; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2212331041#deck_MaxMagicer; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2812333333#deck_MaxMagicer"
"18","Mateusf34",5,"Eldrazi Tron","5","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247565#deck_Mateusf34; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-2512287820#deck_Mateusf34; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-2312295320#deck_Mateusf34; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2012305278#deck_Mateusf34; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-09-2512342275#deck_Mateusf34"
"19","patheus_84",5,"Ad Nauseam; Yawgmoth; Temur Footfalls","2; 2; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1712250166#deck_patheus_84; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-2412252774#deck_patheus_84; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1112282972#deck_patheus_84; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1812285852#deck_patheus_84; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-0312344230#deck_patheus_84"
"20","musasabi",5,"WURG Control; Amulet Titan; Jund Midrange","1; 3; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1712250166#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-04-1012282937#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-1212302283#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-2412321629#deck_musasabi; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357958#deck_musasabi"
