"","SetCode","NoCopies","Winrate"
"1","MH2",19751,0.691
"2","LEA",16572,0.688
"3","MH1",15344,0.685
"4","ZEN",12948,0.687
"5","ONS",10767,0.688
"6","WWK",6456,0.688
"7","ELD",6035,0.687
"8","RAV",5705,0.687
"9","ZNR",5191,0.683
"10","WAR",4950,0.687
"11","5DN",4819,0.688
"12","LRW",4792,0.685
"13","DIS",4765,0.69
"14","NPH",4654,0.685
"15","KLD",4570,0.688
"16","M20",4394,0.685
"17","GPT",4163,0.689
"18","THB",4132,0.685
"19","FUT",4098,0.689
"20","SOM",4087,0.687
"21","IKO",3709,0.689
"22","ROE",3367,0.681
"23","CSP",3159,0.689
"24","CON",3137,0.683
"25","ATQ",3082,0.683
"26","ICE",3040,0.682
"27","TSP",2899,0.679
"28","AER",2817,0.682
"29","STX",2679,0.691
"30","MRD",2620,0.687
"31","OGW",2515,0.69
"32","EMN",2352,0.688
"33","SHM",2272,0.688
"34","KTK",2180,0.682
"35","DKA",2072,0.687
"36","ARB",2008,0.693
"37","RTR",1966,0.689
"38","DRK",1877,0.686
"39","MBS",1752,0.684
"40","M21",1696,0.689
"41","AKH",1662,0.693
"42","ISD",1601,0.678
"43","M11",1558,0.683
"44","AVR",1478,0.691
"45","ALA",1443,0.685
"46","RNA",1415,0.673
"47","DST",1387,0.682
"48","HOU",1328,0.692
"49","CHK",1295,0.679
"50","DOM",1218,0.683
"51","DTK",1183,0.688
"52","INV",1174,0.678
"53","XLN",1166,0.677
"54","SOK",1120,0.687
"55","GTC",1104,0.672
"56","M19",1071,0.684
"57","STH",1067,0.683
"58","SOI",948,0.684
"59","PLC",941,0.688
"60","BFZ",880,0.689
"61","CMD",877,0.687
"62","JOU",858,0.681
"63","PC2",854,0.699
"64","GRN",843,0.687
"65","JUD",838,0.691
"66","MID",828,0.679
"67","AFR",766,0.684
"68","APC",752,0.681
"69","PLS",700,0.69
"70","M12",672,0.678
"71","FRF",606,0.68
"72","TMP",597,0.675
"73","M10",578,0.692
"74","DGM",537,0.685
"75","EVE",522,0.694
"76","KHM",516,0.681
"77","MOR",486,0.685
"78","NEM",419,0.695
"79","WTH",413,0.684
"80","M15",397,0.701
"81","THS",343,0.683
"82","ULG",321,0.684
"83","MIR",309,0.696
"84","ALL",230,0.687
"85","ORI",205,0.69
"86","ARN",188,0.67
"87","M13",164,0.67
"88","ODY",148,0.704
"89","LEG",147,0.698
"90","P02",144,0.701
"91","BNG",144,0.679
"92","M14",103,0.677
"93","PTK",93,0.653
"94","VOW",84,0.61
"95","BOK",72,0.696
"96","CN2",48,0.635
"97","C14",36,0.704
"98","TOR",32,0.697
"99","RIX",27,0.656
"100","SCG",18,0.656
"101","POR",14,0.741
"102","HML",4,0.765
"103","FEM",4,0.5
"104","VIS",2,0.667
