"","SetCode","NoCopies","Winrate"
"1","LEA",1630,0.714
"2","MH2",1426,0.707
"3","ICE",978,0.711
"4","TMP",767,0.705
"5","MH1",759,0.713
"6","ZEN",722,0.705
"7","ONS",702,0.713
"8","LRW",568,0.715
"9","ALL",475,0.705
"10","USG",448,0.707
"11","NPH",335,0.706
"12","NEM",302,0.722
"13","LEB",236,0.702
"14","LEG",226,0.703
"15","STX",220,0.707
"16","AVR",203,0.719
"17","MBS",196,0.704
"18","FUT",192,0.703
"19","THB",163,0.702
"20","MRD",162,0.701
"21","ELD",160,0.701
"22","GPT",156,0.694
"23","DKA",154,0.705
"24","WAR",154,0.694
"25","ISD",133,0.719
"26","M20",126,0.729
"27","ULG",124,0.68
"28","WWK",120,0.683
"29","MMQ",114,0.706
"30","GRN",104,0.711
"31","CSP",102,0.697
"32","ODY",94,0.745
"33","ALA",91,0.712
"34","WTH",90,0.719
"35","SCG",89,0.671
"36","DST",89,0.694
"37","PLC",88,0.716
"38","STH",83,0.682
"39","CMD",82,0.708
"40","EXO",81,0.69
"41","CN2",76,0.723
"42","VIS",74,0.662
"43","M11",70,0.736
"44","CHK",69,0.673
"45","CON",69,0.708
"46","JMP",68,0.686
"47","ZNR",67,0.671
"48","SHM",66,0.707
"49","MIR",65,0.707
"50","HOU",62,0.724
"51","RAV",59,0.717
"52","GTC",59,0.648
"53","CMR",58,0.699
"54","DRK",58,0.698
"55","5DN",56,0.68
"56","TOR",55,0.698
"57","SOM",55,0.685
"58","ROE",55,0.665
"59","EVE",54,0.69
"60","SOK",54,0.686
"61","MID",48,0.709
"62","MOR",45,0.688
"63","BNG",45,0.72
"64","VOW",45,0.706
"65","IKO",42,0.717
"66","JUD",36,0.649
"67","TSP",35,0.675
"68","PLS",35,0.697
"69","AER",33,0.681
"70","C18",30,0.703
"71","C14",29,0.675
"72","BBD",28,0.69
"73","M10",28,0.725
"74","M15",25,0.716
"75","PC2",23,0.714
"76","C19",22,0.68
"77","DIS",19,0.698
"78","M19",19,0.685
"79","POR",18,0.711
"80","KLD",18,0.735
"81","FEM",16,0.694
"82","C13",16,0.655
"83","AFR",15,0.742
"84","BOK",14,0.708
"85","XLN",12,0.719
"86","CNS",12,0.694
"87","OGW",11,0.619
"88","FRF",10,0.73
"89","C20",9,0.733
"90","DOM",9,0.667
"91","P02",8,0.667
"92","HML",8,0.643
"93","AKH",8,0.571
"94","ORI",7,0.737
"95","APC",7,0.65
"96","RIX",6,0.75
"97","M13",6,0.667
"98","C15",6,0.824
"99","EMN",6,0.667
"100","RNA",5,0.615
"101","C21",5,0.6
"102","PTK",4,0.714
"103","JOU",4,0.6
"104","KTK",4,0.6
"105","KHM",3,0.667
"106","M12",2,0.778
"107","LGN",2,0.667
"108","SOI",1,1
"109","M14",1,0.75
"110","BFZ",1,0.571
