"","SetName","Winrate","Presence"
"1","ALA",NA,0
"2","USG",NA,0
"3","M20",NA,0
"4","THS",NA,0
"5","XLN",NA,0
"6","ELD",NA,0
"7","AER",NA,0
"8","DTK",NA,0
"9","M14",NA,0
"10","MOR",NA,0
"11","GRN",NA,0
"12","RNA",NA,0
"13","HOU",NA,0
"14","KTK",NA,0
"15","IKO",NA,0
"16","OGW",NA,0
"17","THB",NA,0
"18","RTR",NA,0
"19","DGM",NA,0
"20","ZNR",NA,0
"21","BNG",NA,0
"22","WAR",NA,0
"23","LRW",NA,0
"24","M21",NA,0
"25","EMN",NA,0
"26","KHM",NA,0
"27","DKA",NA,0
"28","AKH",NA,0
"29","DOM",NA,0
"30","RIX",NA,0
"31","M13",NA,0
"32","FRF",NA,0
"33","M15",NA,0
"34","BFZ",NA,0
"35","STX",NA,0
"36","M11",NA,0
"37","ISD",NA,0
"38","SOI",NA,0
"39","ZEN",NA,0
"40","WWK",NA,0
"41","STH",NA,0
"42","GPT",NA,0
"43","GTC",NA,0
"44","ORI",NA,0
"45","CMD",NA,0
