"","SetCode","NoCopies","Winrate"
"1","ELD",19019,0.66
"2","LEA",18088,0.656
"3","ZNR",14210,0.66
"4","IKO",10662,0.657
"5","M20",9066,0.658
"6","WAR",8920,0.659
"7","THB",7825,0.663
"8","KHM",7166,0.662
"9","THS",7094,0.657
"10","AER",6649,0.662
"11","KLD",6206,0.658
"12","KTK",6020,0.656
"13","AKH",5446,0.651
"14","RAV",5286,0.657
"15","RTR",4900,0.659
"16","MID",4864,0.647
"17","STX",4658,0.652
"18","GPT",4571,0.662
"19","SOI",4560,0.661
"20","GRN",4483,0.661
"21","M21",4455,0.654
"22","AFR",4329,0.647
"23","M10",4297,0.655
"24","LRW",3976,0.666
"25","DOM",3888,0.652
"26","DIS",3809,0.658
"27","RNA",3789,0.656
"28","DTK",3474,0.656
"29","EMN",3124,0.662
"30","M19",2869,0.657
"31","GTC",2702,0.653
"32","MOR",2442,0.662
"33","M14",2407,0.657
"34","INV",2398,0.653
"35","XLN",2356,0.653
"36","BFZ",2250,0.659
"37","APC",2195,0.658
"38","ICE",2141,0.689
"39","JOU",2039,0.661
"40","FRF",1859,0.653
"41","OGW",1821,0.65
"42","DGM",1790,0.654
"43","HOU",1727,0.658
"44","ISD",1669,0.66
"45","RIX",1547,0.651
"46","BNG",1252,0.65
"47","ALA",1228,0.661
"48","DKA",1067,0.655
"49","TSP",1058,0.671
"50","USG",993,0.664
"51","VOW",955,0.655
"52","M15",847,0.656
"53","PTK",802,0.664
"54","ORI",731,0.658
"55","MRD",730,0.659
"56","CMD",576,0.644
"57","PLC",429,0.666
"58","DST",403,0.655
"59","M11",380,0.655
"60","ZEN",374,0.648
"61","ATQ",340,0.654
"62","STH",170,0.66
"63","ROE",134,0.648
"64","DRK",106,0.641
"65","M13",69,0.652
"66","FUT",65,0.674
"67","C14",52,0.668
"68","TOR",37,0.677
"69","SOM",33,0.67
"70","M12",29,0.629
"71","WWK",27,0.686
"72","NPH",27,0.706
"73","SHM",21,0.542
"74","ODY",16,0.644
"75","ONS",11,0.739
"76","SCG",8,0.667
"77","MMQ",5,0.652
"78","S99",3,0.714
